H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0.0,0.02666666666666667,0.05771449525866932,1.0,nan,0.0,-32.0,0.0
0.44,0.07770833333333374,0.05731353244354605,0.9917968749999997,0.0016120086157783823,3.133326499557372e-06,-32.382106882834925,0.003285608818766959
0.88,-0.08989583333333334,0.05620488513587208,0.9573307291666667,0.004441979318016077,0.0018667500258353425,-33.463658727012316,2.09041739704496
1.32,-0.08854166666666785,0.05431426871347556,0.8969270833333336,0.0056072967624391165,0.0004375855139724945,-35.501899010729126,0.5515261451124773
1.76,-0.15052083333333335,0.05098475958910464,0.8110286458333333,0.007907435731872657,0.0010722102568064555,-38.232613598954416,1.567284839333007
2.2,-0.01906250000000008,0.04696996976681839,0.6827994791666666,0.010675166531661059,0.001874463559284615,-41.82772755057823,3.279484200515114
2.31,0.024166666666666774,0.04473234767191122,0.6236458333333333,0.011576933754069884,0.0021940298357784305,-42.8299005762948,4.024729171888794
2.42,0.0546875000000003,0.042972032702887755,0.5854557291666665,0.011945409557376142,0.001646174995715064,-43.974254264982434,3.1832662681592896
2.53,0.09968749999999994,0.038665646594393074,0.5050651041666667,0.012950373138240797,0.0018001775147303684,-45.23799529642383,3.6840204728647983
2.64,-0.0025000000000000343,0.035499914416954735,0.4289583333333333,0.012937097591981585,0.000918016491418651,-46.595705694208014,1.9931604919367079
2.76,-0.012604166666666517,0.031183296286685938,0.35165364583333336,0.012627770629409384,0.0004709949940821705,-48.14984978563432,1.0919585784324641
2.87,0.016666666666666854,0.029292634724006544,0.32390625,0.011723740835388137,0.0003909169970151838,-49.634236597973334,0.9630464774604585
2.98,0.023020833333333292,0.02718494493634537,0.29055989583333336,0.010908279704535314,0.0002694085308937845,-51.08437386870103,0.703052072841801
2.99,-0.011249999999999951,0.026774505260498183,0.2823177083333335,0.01065247089110282,0.0002840505401380907,-51.29084777451771,0.7472662611038935
3.01,0.01041666666666672,0.02600886823473586,0.2701041666666667,0.010440220332596978,0.0002446202345242259,-51.55272239698406,0.6501230843826297
3.03,0.03468750000000009,0.026732375505622602,0.2835807291666667,0.010726655411467745,0.00046797015941666266,-51.78688412938846,1.255040451240313
3.04,0.007604166666666606,0.025023261024559533,0.2610026041666666,0.01012388771481604,0.00027207190366643577,-51.957482371965284,0.734479862743797
3.05,-0.022604166666666616,0.025359831576353548,0.26399739583333337,0.009960579349725026,0.00018723232520136173,-52.111498742970376,0.5084496565770236
3.07,-0.014687500000000006,0.02414212340279605,0.25118489583333325,0.009803999227677471,0.0002415164993626899,-52.38110763449678,0.6626682461681137
3.09,0.02312499999999999,0.024608417640108446,0.25739583333333343,0.010170751088204168,0.00036869879406219576,-52.6631003149982,1.022550022545694
3.2,0.00927083333333332,0.021829962731502683,0.2129817708333333,0.008692640816916663,0.00019245658507969867,-54.247317897348694,0.566355753378185
3.2,0.00927083333333332,0.021829962731502683,0.2129817708333333,0.008692640816916663,0.00019245658507969867,-54.247317897348694,0.566355753378185
3.9,0.008020833333333336,0.016200926390621984,0.1474609375,0.0064336917810280765,8.017186738014056e-05,-64.69275643191003,0.3355315100166859
4.6,-0.013020833333333317,0.012752194062762371,0.11399739583333333,0.004289350195163835,0.0006398291414551552,-75.2729638067075,3.62528412358226
5.3,0.0024999999999999914,0.011651813461622378,0.10015625,0.00424069811561876,0.00043329712907461723,-86.2227716995912,3.221289600086186
6.0,0.01979166666666667,0.011454386946671311,0.09528645833333334,0.0035920886734669808,0.00041908806895433066,-97.23812640296268,3.962583816108808
