sigma,replica,v_score_original,v_score_dual,time_original,time_dual
0.01,0,6.445774281174275e-05,8.846470748124318e-05,32.8207733631134,27.634193897247314
0.01,1,6.546717802429014e-05,8.986521282879793e-05,32.8207733631134,27.634193897247314
0.01,2,6.703164676597281e-05,9.134867855043266e-05,32.8207733631134,27.634193897247314
0.01,3,6.398903729249495e-05,8.942312729894575e-05,32.8207733631134,27.634193897247314
0.01,4,6.271081740487426e-05,9.039605010964595e-05,32.8207733631134,27.634193897247314
0.01,5,6.845414579311049e-05,9.091920046497481e-05,32.8207733631134,27.634193897247314
0.01,6,6.815303034888013e-05,9.568951145671412e-05,32.8207733631134,27.634193897247314
0.01,7,6.311111924546818e-05,9.225564099483224e-05,32.8207733631134,27.634193897247314
0.01,8,6.594134774118559e-05,9.704639223553057e-05,32.8207733631134,27.634193897247314
0.01,9,6.639269759384866e-05,9.136736589522497e-05,32.8207733631134,27.634193897247314
0.05,0,9.272356672536504e-05,9.533224541794683e-05,25.479199171066284,22.647008419036865
0.05,1,9.253341198284223e-05,8.801953815147119e-05,25.479199171066284,22.647008419036865
0.05,2,9.13908696275724e-05,8.825646492281326e-05,25.479199171066284,22.647008419036865
0.05,3,9.339144850865055e-05,9.526282967358183e-05,25.479199171066284,22.647008419036865
0.05,4,9.367598161520486e-05,8.923468743129095e-05,25.479199171066284,22.647008419036865
0.05,5,0.00011869041664534993,9.692400171117528e-05,25.479199171066284,22.647008419036865
0.05,6,9.762119960270403e-05,0.00010314685753024328,25.479199171066284,22.647008419036865
0.05,7,9.39966615675528e-05,8.828058638128247e-05,25.479199171066284,22.647008419036865
0.05,8,0.00011091917076351916,0.00010265254115005733,25.479199171066284,22.647008419036865
0.05,9,0.00010448960601317108,9.041762248664338e-05,25.479199171066284,22.647008419036865
0.1,0,0.00014096166124790368,0.00015949312274610034,26.080299615859985,22.55656623840332
0.1,1,0.00012556002943631985,0.0001449301730291505,26.080299615859985,22.55656623840332
0.1,2,0.0001300903692305158,0.00015075094351564637,26.080299615859985,22.55656623840332
0.1,3,0.00014464245217471927,0.00016290401877354515,26.080299615859985,22.55656623840332
0.1,4,0.00014193430907787167,0.00014683105595369054,26.080299615859985,22.55656623840332
0.1,5,0.00015597883642224223,0.00017082809150568512,26.080299615859985,22.55656623840332
0.1,6,0.00018691197149080488,0.00018373018355985962,26.080299615859985,22.55656623840332
0.1,7,0.00014171772036195276,0.00015480830396506887,26.080299615859985,22.55656623840332
0.1,8,0.00019892157970032555,0.00018218549952769256,26.080299615859985,22.55656623840332
0.1,9,0.00015853017151450867,0.0001602859508197863,26.080299615859985,22.55656623840332
0.2,0,0.00018596446670739395,0.00012792890073983062,25.96436071395874,22.53085494041443
0.2,1,0.00011866402405229603,0.00010418497568612809,25.96436071395874,22.53085494041443
0.2,2,0.00015619442505889893,0.00011020882773280335,25.96436071395874,22.53085494041443
0.2,3,0.00020284704609542753,0.0001223903368803719,25.96436071395874,22.53085494041443
0.2,4,0.00018150913776060287,0.00010509120393934198,25.96436071395874,22.53085494041443
0.2,5,0.00022766660399989945,0.0001367015230052634,25.96436071395874,22.53085494041443
0.2,6,0.00022262438830778929,0.0001525208355183562,25.96436071395874,22.53085494041443
0.2,7,0.0001855743947869268,0.00011140518892456547,25.96436071395874,22.53085494041443
0.2,8,0.00039097812411440457,0.00015173822089089553,25.96436071395874,22.53085494041443
0.2,9,0.00022610072239579395,0.00012703359365049782,25.96436071395874,22.53085494041443
0.5,0,0.0008543507870322549,0.00033105768038147425,26.049851179122925,22.346426248550415
0.5,1,0.00034947019101797254,0.00016246409617504516,26.049851179122925,22.346426248550415
0.5,2,0.0006382799894316528,0.00018078254941244034,26.049851179122925,22.346426248550415
0.5,3,0.0008165275617049631,0.0002897725170847815,26.049851179122925,22.346426248550415
0.5,4,0.0008197211315205202,0.0002125001854683972,26.049851179122925,22.346426248550415
0.5,5,0.0012498907577836301,0.0003831700755663846,26.049851179122925,22.346426248550415
0.5,6,0.0011907825211387021,0.0003530446969604377,26.049851179122925,22.346426248550415
0.5,7,0.0006895704889693049,0.0002232636823220298,26.049851179122925,22.346426248550415
0.5,8,0.0016368403642731551,0.0004749903580847302,26.049851179122925,22.346426248550415
0.5,9,0.001346631414027379,0.0002852750601675395,26.049851179122925,22.346426248550415
