sigma_test,replica,v_score_original,v_score_dual
0.01,0,2.317529704541653e-05,8.508310688724202e-06
0.01,1,2.1456832745901457e-05,8.723455168701195e-06
0.01,2,2.2382919506183024e-05,8.834330544737107e-06
0.01,3,2.1748022069535932e-05,8.526641374031809e-06
0.01,4,2.307750399571832e-05,9.195971209101225e-06
0.01,5,2.3030793492938224e-05,8.675137396744568e-06
0.01,6,2.1912033263801188e-05,8.690786558413728e-06
0.01,7,2.1483081070102906e-05,8.771480065809855e-06
0.01,8,2.2910434860547954e-05,8.426921160843606e-06
0.01,9,2.3304673454762533e-05,8.914437943422329e-06
0.017435897435897435,0,2.896508238895518e-05,8.874749531907376e-06
0.017435897435897435,1,2.60622276427149e-05,8.631331593674203e-06
0.017435897435897435,2,2.6431098504858036e-05,8.860549060472962e-06
0.017435897435897435,3,2.552007507470444e-05,8.597017781888508e-06
0.017435897435897435,4,2.3757848196511697e-05,8.626219951302065e-06
0.017435897435897435,5,2.479335489138785e-05,8.805515630057496e-06
0.017435897435897435,6,2.2897421724698828e-05,8.445260991708235e-06
0.017435897435897435,7,2.9579770293923227e-05,8.291122268261651e-06
0.017435897435897435,8,2.2657903057389874e-05,8.543980518267853e-06
0.017435897435897435,9,2.4447090863991195e-05,9.184936211480384e-06
0.02487179487179487,0,2.9096643873239875e-05,8.328997006609211e-06
0.02487179487179487,1,2.290071480484464e-05,8.828695681350198e-06
0.02487179487179487,2,2.509726024813903e-05,8.5435903349701e-06
0.02487179487179487,3,2.4381117270226223e-05,9.011454972687108e-06
0.02487179487179487,4,2.7792012374161016e-05,8.533351397852308e-06
0.02487179487179487,5,3.845389996289078e-05,8.886739574681203e-06
0.02487179487179487,6,2.7290414604992653e-05,8.663599348122352e-06
0.02487179487179487,7,2.859764789234186e-05,8.385744530408883e-06
0.02487179487179487,8,4.0346316529522383e-05,8.827359750016925e-06
0.02487179487179487,9,2.6693025749372154e-05,8.533827054373425e-06
0.03230769230769231,0,2.8468622608258937e-05,8.41990183301034e-06
0.03230769230769231,1,3.112837251257182e-05,8.482967015764814e-06
0.03230769230769231,2,5.446224049698501e-05,8.291231212851114e-06
0.03230769230769231,3,2.89763709987986e-05,9.880514661193598e-06
0.03230769230769231,4,2.6383257420973506e-05,9.158670796726118e-06
0.03230769230769231,5,2.5461474308357617e-05,1.0068213391971749e-05
0.03230769230769231,6,4.3602029986173037e-05,8.665265416730971e-06
0.03230769230769231,7,3.027375206667084e-05,8.517305727001473e-06
0.03230769230769231,8,2.4018544442647876e-05,8.575019545412465e-06
0.03230769230769231,9,2.765496844797967e-05,9.379324674322254e-06
0.03974358974358974,0,6.984456957584153e-05,8.790216911997013e-06
0.03974358974358974,1,4.5352616738236567e-05,1.1652211617410984e-05
0.03974358974358974,2,3.134032458033363e-05,8.373655762342384e-06
0.03974358974358974,3,4.5143897370368895e-05,8.434384063988517e-06
0.03974358974358974,4,2.934510725300139e-05,8.510994226601099e-06
0.03974358974358974,5,2.8014892801822143e-05,1.0124589335432607e-05
0.03974358974358974,6,2.282872520183943e-05,8.553229433861383e-06
0.03974358974358974,7,3.464646168056797e-05,9.041240603161923e-06
0.03974358974358974,8,3.1868556533361476e-05,1.0156181458135428e-05
0.03974358974358974,9,4.949494312209321e-05,9.109406853247788e-06
0.04717948717948718,0,3.833422329221337e-05,9.2620466082996e-06
0.04717948717948718,1,6.515656983409808e-05,9.073538503452856e-06
0.04717948717948718,2,7.370993964565017e-05,9.840511129673606e-06
0.04717948717948718,3,3.2007820314304704e-05,9.192815111911642e-06
0.04717948717948718,4,2.5924339290405512e-05,9.044718710321678e-06
0.04717948717948718,5,4.7399096819965515e-05,9.149606761815017e-06
0.04717948717948718,6,3.0551928426430326e-05,9.003471288559587e-06
0.04717948717948718,7,2.5529016686122057e-05,9.699113943217766e-06
0.04717948717948718,8,2.936381834043942e-05,9.937360146114835e-06
0.04717948717948718,9,6.0402681889349905e-05,9.618804645979951e-06
0.054615384615384614,0,3.877639704890698e-05,9.370507282301121e-06
0.054615384615384614,1,0.00012187874912022211,1.0712653840179207e-05
0.054615384615384614,2,4.070052005796247e-05,1.0462820440584994e-05
0.054615384615384614,3,4.732347575089077e-05,9.394986874247995e-06
0.054615384615384614,4,6.625568450730786e-05,1.2558445443010926e-05
0.054615384615384614,5,3.2472488836813656e-05,9.08855864974652e-06
0.054615384615384614,6,2.7510740070500866e-05,9.417530763208218e-06
0.054615384615384614,7,2.7319455869139357e-05,9.105742366342832e-06
0.054615384615384614,8,0.00011263479125590527,1.0542507080856214e-05
0.054615384615384614,9,6.482804228791438e-05,1.0674149088921652e-05
0.062051282051282054,0,4.350526708231015e-05,9.244193958670104e-06
0.062051282051282054,1,2.8982114406833655e-05,8.687743710749453e-06
0.062051282051282054,2,0.00012614829799425682,1.1478660950824874e-05
0.062051282051282054,3,0.00011096570775655404,1.1514189845583908e-05
0.062051282051282054,4,7.545387211513786e-05,9.106155681801913e-06
0.062051282051282054,5,4.421545642507135e-05,1.0507690753871597e-05
0.062051282051282054,6,4.62999331364538e-05,1.1519281956291857e-05
0.062051282051282054,7,2.9898226971694888e-05,8.6614736102004e-06
0.062051282051282054,8,3.209206657342648e-05,9.171336006880877e-06
0.062051282051282054,9,4.772684828657565e-05,9.60209480899882e-06
0.06948717948717949,0,4.6487267069298206e-05,9.952507384366557e-06
0.06948717948717949,1,3.824627871560845e-05,1.2132855677527928e-05
0.06948717948717949,2,0.000131690190011515,9.221289417485478e-06
0.06948717948717949,3,5.3395470423413046e-05,1.1668377031018965e-05
0.06948717948717949,4,6.117813578502904e-05,9.413496750877631e-06
0.06948717948717949,5,4.0693017343111856e-05,8.962862477104609e-06
0.06948717948717949,6,0.00017272102979968602,1.1400166637898822e-05
0.06948717948717949,7,6.84429521230803e-05,1.107804934537155e-05
0.06948717948717949,8,4.1723356209204975e-05,1.0602154852509927e-05
0.06948717948717949,9,5.652576080904798e-05,8.637122054174702e-06
0.07692307692307691,0,4.7381796155503814e-05,9.844316895737373e-06
0.07692307692307691,1,0.0001354248003352438,1.0106852197334746e-05
0.07692307692307691,2,4.60002161022011e-05,9.351068315133641e-06
0.07692307692307691,3,4.597772634552202e-05,1.0627719070646858e-05
0.07692307692307691,4,6.987588722678727e-05,1.1061411109025033e-05
0.07692307692307691,5,4.3433824265224925e-05,9.69057972694947e-06
0.07692307692307691,6,4.757687596748684e-05,1.0548926798832418e-05
0.07692307692307691,7,8.403112605956067e-05,9.70603044141708e-06
0.07692307692307691,8,0.0001521625648933531,1.188591832183577e-05
0.07692307692307691,9,3.436998794073445e-05,1.0255204863734056e-05
0.08435897435897435,0,0.0002737258154924994,1.3056173739210976e-05
0.08435897435897435,1,3.580291728319373e-05,9.351478085650747e-06
0.08435897435897435,2,6.8406866037167e-05,1.1947047579102416e-05
0.08435897435897435,3,0.00013696337815876242,1.5338091851146275e-05
0.08435897435897435,4,0.000269203373471196,9.373273624492415e-06
0.08435897435897435,5,4.706156221594699e-05,9.83139136854962e-06
0.08435897435897435,6,7.839376718998586e-05,1.0967620444381209e-05
0.08435897435897435,7,5.2716004691927377e-05,1.148180990019711e-05
0.08435897435897435,8,0.00014975578206206805,9.39807582781149e-06
0.08435897435897435,9,0.000251671005772003,1.1266536364151754e-05
0.0917948717948718,0,0.00015924891025996047,1.1500544017718772e-05
0.0917948717948718,1,6.628676527471378e-05,1.2077603320734788e-05
0.0917948717948718,2,4.750753935394015e-05,1.2095942368637433e-05
0.0917948717948718,3,3.805583992958224e-05,9.427547506267277e-06
0.0917948717948718,4,4.266216305618768e-05,1.077650893653649e-05
0.0917948717948718,5,9.471819701162541e-05,1.0841285997115574e-05
0.0917948717948718,6,0.00015760373511904157,1.0517909726851714e-05
0.0917948717948718,7,6.705479759688605e-05,1.1921774230637789e-05
0.0917948717948718,8,0.0001666226315207066,9.615537871628932e-06
0.0917948717948718,9,0.0001289235962901059,1.212843302237305e-05
0.09923076923076922,0,9.421978923227047e-05,1.0559260352015835e-05
0.09923076923076922,1,0.0003776178152847064,1.483334848018545e-05
0.09923076923076922,2,0.00020410521072754506,9.987582387305402e-06
0.09923076923076922,3,7.062084628469443e-05,1.4479817331817178e-05
0.09923076923076922,4,0.0001343004684569181,1.4100340851327676e-05
0.09923076923076922,5,0.0001154336267941272,1.1210961457348011e-05
0.09923076923076922,6,9.439711086284191e-05,1.4148828021155172e-05
0.09923076923076922,7,6.729590607806736e-05,1.138736658787029e-05
0.09923076923076922,8,9.074374931695643e-05,1.2203760745032488e-05
0.09923076923076922,9,0.00012771754034382202,1.0435532358161007e-05
0.10666666666666666,0,9.226863285676555e-05,1.2966829914401652e-05
0.10666666666666666,1,0.00017865750353901813,1.2096277258747825e-05
0.10666666666666666,2,0.00017760815739518843,1.2836931692001493e-05
0.10666666666666666,3,6.29616502655084e-05,1.2468654608754614e-05
0.10666666666666666,4,0.00030733675747296555,1.326046822268053e-05
0.10666666666666666,5,7.110961532535638e-05,1.3238221707621572e-05
0.10666666666666666,6,8.892685398409655e-05,1.3441023384708079e-05
0.10666666666666666,7,0.00014958025359385348,1.8321402686316644e-05
0.10666666666666666,8,4.16958559537717e-05,1.124410004700704e-05
0.10666666666666666,9,0.0006890987195868051,1.4650525068471441e-05
0.1141025641025641,0,7.848827732629471e-05,1.2599759841071045e-05
0.1141025641025641,1,5.798981336050844e-05,1.1925613385441286e-05
0.1141025641025641,2,0.0008227470358146072,1.4425619423014219e-05
0.1141025641025641,3,7.144770697536429e-05,1.257036189666028e-05
0.1141025641025641,4,8.097623959435674e-05,1.2870750285244635e-05
0.1141025641025641,5,5.532695851519249e-05,1.1621056643322617e-05
0.1141025641025641,6,8.859559017328377e-05,1.3790034147605191e-05
0.1141025641025641,7,9.65099684714189e-05,1.3530107379729107e-05
0.1141025641025641,8,0.00012025677538056209,2.0543171082258792e-05
0.1141025641025641,9,5.4572733850661654e-05,1.2038115699389984e-05
0.12153846153846153,0,0.00010037840055848649,9.37532724589745e-06
0.12153846153846153,1,0.0001356961444922787,1.4935093797790939e-05
0.12153846153846153,2,0.00029480273784832165,1.6914216080188055e-05
0.12153846153846153,3,0.00021129885886059114,1.1983465995843342e-05
0.12153846153846153,4,0.0002262159212753499,8.571244157809726e-06
0.12153846153846153,5,0.00016713311639316483,1.3021945352046291e-05
0.12153846153846153,6,8.458852066522908e-05,1.0482492924074864e-05
0.12153846153846153,7,0.0003334819535340762,1.194777412277829e-05
0.12153846153846153,8,0.0010008068030122976,1.77943753113334e-05
0.12153846153846153,9,0.00027642721012972687,1.152453076392828e-05
0.12897435897435897,0,0.00016832690418300654,1.167430020358283e-05
0.12897435897435897,1,6.697009378577817e-05,1.2544829689157647e-05
0.12897435897435897,2,0.00014593044493740358,1.7381692921792622e-05
0.12897435897435897,3,0.0005045029623789004,2.248061578495845e-05
0.12897435897435897,4,7.044600831775318e-05,1.3067904122721423e-05
