h_mean,v_score
0.2,0.00021619085029220595
0.2,0.009796028457248338
0.2,3.862340526941912e-05
0.2,0.023333516723750263
0.2,0.004420277407654617
0.2,2.993918547659711e-05
0.2,3.813251132571057e-05
0.2,3.737809465034979e-05
0.2,1.6351110978010384e-05
0.2,0.015006404507512103
0.2,7.12206401652043e-06
0.6,3.9650795619253966e-05
0.6,4.064732931829677e-05
0.6,1.7441090424301474e-05
0.6,3.9252824519050294e-05
0.6,1.5025848325544573e-05
0.6,1.0680979897077977e-05
0.6,2.011417805478551e-05
0.6,2.9948894732287316e-05
0.6,1.7301286412741887e-05
0.6,1.983132350298483e-05
0.6,2.301044911908462e-05
1.0,1.2968857658848963e-05
1.0,2.263052801675413e-05
1.0,2.5883976137569497e-05
1.0,2.9736077875610706e-05
1.0,0.0005596673817269171
1.0,1.367371203617648e-05
1.0,1.5789478620027784e-05
1.0,2.2476163013085547e-05
1.0,1.3161808342753961e-05
1.0,1.4774022771886002e-05
1.0,1.9556588320077487e-05
1.5,1.6887749254978894e-05
1.5,1.0847469508855857e-05
1.5,7.566736602691046e-06
1.5,7.784572198742137e-06
1.5,1.2834096622382525e-05
1.5,7.348825478210512e-06
1.5,1.0908374270351308e-05
1.5,1.236173502720335e-05
1.5,1.2852029262100647e-05
1.5,8.532312218896858e-06
1.5,6.08015522539148e-06
2.0,1.0337344478031576e-05
2.0,9.264136987894693e-06
2.0,6.535112761989843e-06
2.0,1.602483592258548e-05
2.0,1.1979597106682737e-05
2.0,9.809848755934757e-06
2.0,6.990835157528588e-06
2.0,1.3987054946522347e-05
2.0,1.4631976032414724e-05
2.0,1.4675858254059543e-05
2.0,1.328123605137869e-05
2.8,2.8148064814301613e-06
2.8,2.354842441702253e-06
2.8,2.3082019949163474e-06
2.8,2.9448126520588454e-06
2.8,2.574340907007312e-06
2.8,2.1393620285091097e-06
2.8,3.332378471708785e-06
2.8,3.6351284124365217e-06
2.8,2.938686781001619e-06
2.8,2.6090050046535514e-06
2.8,2.0473288201998204e-06
2.9,1.8922091350101585e-06
2.9,2.323184934242346e-06
2.9,1.7556861955786306e-06
2.9,2.2019517622328498e-06
2.9,1.9254626713442383e-06
2.9,3.963179459723684e-06
2.9,2.3757308310035322e-06
2.9,2.2382354116546525e-06
2.9,2.4653001193735873e-06
2.9,2.468363077726938e-06
2.9,1.5102722310559028e-06
3.0,1.6815099826474228e-06
3.0,1.7611011775502045e-06
3.0,2.2351397718530888e-06
3.0,1.6456794818339653e-06
3.0,1.8534531836922915e-06
3.0,1.910368013848546e-06
3.0,1.9961096230761416e-06
3.0,1.954370705903957e-06
3.0,1.834376781705083e-06
3.0,1.8044519245689674e-06
3.0,1.2584213588219043e-06
3.2,1.4327544853583553e-06
3.2,1.613791897486528e-06
3.2,1.579686314144244e-06
3.2,1.3940259520192292e-06
3.2,1.654520771151229e-06
3.2,1.4293921493836875e-06
3.2,1.844122550450078e-06
3.2,1.323003497429792e-06
3.2,1.6224613632152224e-06
3.2,2.0761043153487772e-06
3.2,9.300873143173759e-07
3.4,1.3435122587765453e-06
3.4,1.0305078857989418e-06
3.4,1.2726715022263398e-06
3.4,1.0322465479321195e-06
3.4,1.2605186952836546e-06
3.4,9.322499566511979e-07
3.4,1.6727290618819836e-06
3.4,1.3130560813002562e-06
3.4,1.1821145853543752e-06
3.4,1.0967305439031569e-06
3.4,7.830507452959844e-07
3.6,9.971044609548482e-07
3.6,9.126853753038639e-07
3.6,1.2365585924832925e-06
3.6,1.1814323736278878e-06
3.6,1.1618390240632773e-06
3.6,9.838215858515011e-07
3.6,1.385945488394979e-06
3.6,7.984497391416168e-07
3.6,1.1158208434446416e-06
3.6,7.949098821858511e-07
3.6,6.71765133071821e-07
4.0,8.14214057219285e-07
4.0,9.233313126060382e-07
4.0,9.446311552796366e-07
4.0,9.646537412209588e-07
4.0,9.444928083801386e-07
4.0,9.05728050826596e-07
4.0,9.535990158101076e-07
4.0,8.256982467769602e-07
4.0,7.475685603944298e-07
4.0,8.819544946653363e-07
4.0,6.179721503866149e-07
5.0,8.813862010930188e-07
5.0,7.722499732130672e-07
5.0,8.276431962308503e-07
5.0,6.386447015778377e-07
5.0,6.755331426455107e-07
5.0,8.195587273218834e-07
5.0,9.33416346736262e-07
5.0,7.13834340200045e-07
5.0,6.744166725754106e-07
5.0,7.039127398317188e-07
5.0,5.332517844508171e-07
