H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0.0,0.1466666666666462,0.0571106787705185,0.9999999999999554,8.365841161141079e-16,2.099618950003457e-28,-127.99999999999429,3.440015687685357e-24
0.44,0.1273697916666624,0.05697093817143416,0.990026855468725,0.0008749126549673919,1.0615176156154238e-06,-129.54086533199776,0.017813152796856777
0.88,0.057421875000002266,0.056264768569051854,0.9534611002604259,0.0019419780849610048,6.179957851647067e-06,-134.21955212975328,0.11133124961690864
1.32,0.13218750000000537,0.053908024326676594,0.890374348958334,0.0028227583436881572,1.7953171772423297e-05,-142.03527349545544,0.36218762695574025
1.76,0.0681249999999997,0.05137507022585778,0.7985774739583352,0.004104519038771835,5.418652125628429e-05,-153.10488670779569,1.2701920066276506
2.2,0.21356770833333336,0.04555926132223054,0.6720369466145842,0.004921446349076789,0.00010294205789204475,-167.57674332591367,2.8908152568410257
2.31,0.052161458333333695,0.04548744691137847,0.6280558268229157,0.005537409394593501,0.00014833917260159032,-171.70460275863954,4.373405296315922
2.42,-0.07437499999999975,0.04379416235851565,0.5860465494791669,0.005559331083339691,0.00016403565085715757,-176.06028312750823,5.084649697949859
2.53,0.3535416666666662,0.03712607214516826,0.5440641276041661,0.005659241298481199,0.000191589857791561,-180.6848496581429,6.254836941240874
2.64,-0.6737760416666666,0.008299542357166265,0.4817130533854167,0.006079269124799524,0.00013756339737298562,-185.6706935639548,4.742306422757678
2.76,-0.636276041666665,0.004903863418639881,0.41968668619791544,0.00606946592820574,0.0001340896143414934,-191.21530088138007,4.902757628286888
2.87,0.5891666666666691,0.005819642291452552,0.3664111328125014,0.0064935190401441325,0.00016241559077724568,-196.72923570296797,6.285871890451843
2.98,-0.5177864583333323,0.0063477617067450726,0.29086507161458275,0.00640311626695545,0.00018890280829391332,-202.36629744899224,7.735970160617805
2.99,0.5088802083333331,0.006403465088836867,0.28200276692708326,0.006376382052382061,0.00020146769247691466,-202.91508567229016,8.295337949525756
3.01,0.49486979166666784,0.006239446203684696,0.26788004557291734,0.006055468010403294,0.00021599577127762236,-204.09063214926832,8.996868865400451
3.03,-0.48138020833333195,0.006409050278614857,0.2562019856770825,0.005899479260867505,0.0002181699923213333,-205.20529318106483,9.18696653495365
3.04,-0.47515625000000034,0.006281511274969532,0.2498356119791668,0.00575223474720455,0.00020957455036898384,-205.69290373774462,8.867009244872992
3.05,0.44341145833333234,0.006771195736829058,0.22302652994791602,0.005863836153712227,0.00024710927465993734,-206.27713223826186,10.514562719933473
3.07,-0.44578124999999735,0.006701817730593388,0.2253011067708318,0.0058533781470117945,0.00023566549035614471,-207.37292888242155,10.134448369401467
3.09,-0.4305989583333317,0.007017101731231473,0.21271240234374914,0.005854326864224964,0.0002464369207555567,-208.44210514445766,10.707218736046801
3.2,-0.10843750000000003,0.009311404670856298,0.05463216145833335,0.002807135538899798,0.0003624162604936028,-214.65200954588786,16.698505047369043
3.2,-0.10843750000000003,0.009311404670856298,0.05463216145833335,0.002807135538899798,0.0003624162604936028,-214.65200954588786,16.698505047369043
3.9,0.0033333333333333106,0.006881969846628757,0.03016764322916668,0.001369609242045822,0.0002509773964648173,-257.17062279708773,16.59882411280432
4.6,-0.003776041666666662,0.0063912487739471,0.02684977213541667,0.0011809854887069233,0.00017617462192571457,-300.4894997005168,15.907500641310635
5.3,-0.004062500000000007,0.006007608746183644,0.026023763020833333,0.0011388654641841223,0.00013915740555199416,-344.59333765809623,16.524186056138948
6.0,0.010234375000000018,0.005527350344764421,0.022953287760416666,0.000960739086541596,0.00010810441816893143,-388.76544440659234,16.338747255396925
