h_mean,v_score
0.2,0.4807289263727051
0.2,2.202976599388477
0.2,0.32577418513698225
0.2,0.35300166007162964
0.2,0.4198134111494038
0.2,5.1128958136679445
0.2,0.30672388940652
0.2,14.661277340595113
0.2,0.3307679170620814
0.2,0.3498273130901282
0.2,4.4444796236460204
0.6,0.09853372835782641
0.6,0.41293874351524684
0.6,0.6814034508359375
0.6,0.2473270296764663
0.6,0.22800295593111833
0.6,0.7809218586379292
0.6,0.5604440239863939
0.6,0.14549372681162148
0.6,0.39896830429404967
0.6,0.4146836388377159
0.6,0.16454800515204712
1.0,8.835170374772396e-05
1.0,6.068959274998863e-05
1.0,9.171815073084749e-05
1.0,9.98235949438179e-05
1.0,4.107321961706983e-05
1.0,0.00010029478690340685
1.0,5.649231455752934e-05
1.0,0.00010548973370683367
1.0,7.961988579042564e-05
1.0,6.541935767240137e-05
1.0,4.847717941519404e-05
1.5,0.0001313825698627113
1.5,0.00010198625425170297
1.5,6.967916957940688e-05
1.5,0.00012457008544941318
1.5,8.5374321793174e-05
1.5,9.781953837812175e-05
1.5,0.00014189654477621331
1.5,0.00011009557307208655
1.5,0.00011345306072086101
1.5,0.00011654314941886867
1.5,5.080295450835688e-05
2.0,8.389977664046777e-05
2.0,0.00010908996186683691
2.0,6.21276849908658e-05
2.0,9.474464541889926e-05
2.0,0.0001511397048450503
2.0,0.00011553085127636864
2.0,0.00013871886748488993
2.0,7.938626672943532e-05
2.0,9.384101950953152e-05
2.0,0.00011317166925502585
2.0,0.0001564812800919204
2.8,9.98337785069576e-06
2.8,9.275129309665164e-06
2.8,9.737332398728539e-06
2.8,9.060505603482916e-06
2.8,1.0386608786894469e-05
2.8,9.570219310899846e-06
2.8,9.946416404312579e-06
2.8,9.763064863251402e-06
2.8,1.0573232336100906e-05
2.8,9.928142212601245e-06
2.8,9.46097676319879e-06
2.9,9.55852774646671e-06
2.9,9.054951344524778e-06
2.9,8.524184715503106e-06
2.9,9.429287762901885e-06
2.9,8.943054216981787e-06
2.9,8.830338836586627e-06
2.9,8.876517530253782e-06
2.9,8.899652819265873e-06
2.9,7.798107497180777e-06
2.9,9.389718531990401e-06
2.9,9.654096368825595e-06
3.0,7.632226522411725e-06
3.0,7.2685076860959105e-06
3.0,7.703754922882012e-06
3.0,7.358496733632473e-06
3.0,6.81627166860233e-06
3.0,6.469782127801397e-06
3.0,7.340273798101658e-06
3.0,7.177230403288965e-06
3.0,7.645341279803738e-06
3.0,7.108375462352526e-06
3.0,6.96237277501394e-06
3.2,5.720328332046426e-06
3.2,4.703052770201797e-06
3.2,5.219239009476323e-06
3.2,4.736521506795221e-06
3.2,5.018106590451081e-06
3.2,5.072262869619967e-06
3.2,4.9834952329030696e-06
3.2,5.063460892554952e-06
3.2,5.11931370310884e-06
3.2,5.232276412326096e-06
3.2,4.733114781689206e-06
3.4,3.513089685765658e-06
3.4,3.436632693601028e-06
3.4,3.5572458552654305e-06
3.4,3.5062438498628713e-06
3.4,3.2375030805854036e-06
3.4,3.439967113230294e-06
3.4,3.397524998798781e-06
3.4,3.643513541037306e-06
3.4,3.4137963682927937e-06
3.4,3.287623129770332e-06
3.4,3.255636963914036e-06
3.6,2.574862536950412e-06
3.6,2.6660656321635884e-06
3.6,2.387294108327583e-06
3.6,2.2979238666274033e-06
3.6,2.5146544151573336e-06
3.6,2.4563776049385984e-06
3.6,2.2271733789655534e-06
3.6,2.410642843020282e-06
3.6,2.331484169873723e-06
3.6,2.282065055699037e-06
3.6,2.5294322283794702e-06
4.0,1.5315400868885236e-06
4.0,1.5240378790299098e-06
4.0,1.626624513254846e-06
4.0,1.5845586398894117e-06
4.0,1.7589590295595442e-06
4.0,1.5690883690469307e-06
4.0,1.5435098672118178e-06
4.0,1.7025622574939337e-06
4.0,1.6400820116354552e-06
4.0,1.7484856212519289e-06
4.0,1.519065803047205e-06
5.0,2.109902950194191e-06
5.0,2.0106873919211777e-06
5.0,1.9141593045873534e-06
5.0,1.9541803072089737e-06
5.0,2.0201754413410336e-06
5.0,2.004723854542161e-06
5.0,2.039410724879539e-06
5.0,1.8513356001246995e-06
5.0,2.07316159751712e-06
5.0,2.0716323445373766e-06
5.0,1.9641345393356283e-06
