H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0,nan,nan,nan,nan,nan,nan,nan
0.2,nan,nan,nan,nan,nan,nan,nan
0.4,nan,nan,nan,nan,nan,nan,nan
0.6,nan,nan,nan,nan,nan,nan,nan
0.8,nan,nan,nan,nan,nan,nan,nan
0.9,nan,nan,nan,nan,nan,nan,nan
0.95,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan
1.05,nan,nan,nan,nan,nan,nan,nan
1.1,nan,nan,nan,nan,nan,nan,nan
1.2,nan,nan,nan,nan,nan,nan,nan
1.4,nan,nan,nan,nan,nan,nan,nan
1.6,nan,nan,nan,nan,nan,nan,nan
1.8,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan
2.3,nan,nan,nan,nan,nan,nan,nan
2.6,nan,nan,nan,nan,nan,nan,nan
2.6,nan,nan,nan,nan,nan,nan,nan
2.6,nan,nan,nan,nan,nan,nan,nan
2.6,nan,nan,nan,nan,nan,nan,nan
