h_mean,v_score
0.1,3499.587609368031
0.1,65.88941759891917
0.1,7.2220269822096705
0.1,18.384910774186267
0.1,39.55468249072713
0.1,11.19686562099662
0.1,18.36480957379898
0.1,371.9628962521242
0.1,8.223436050912717
0.1,1.0444047537060557
0.1,0.890584312590716
0.2,0.02971824736722007
0.2,0.2122444796715774
0.2,0.14682338151449706
0.2,0.23245202680376476
0.2,0.4438108434981744
0.2,0.2372177849318759
0.2,0.870256345467577
0.2,2.3815735608383534e-05
0.2,0.04676033780217782
0.2,0.10744575091017396
0.2,0.03663710474789846
0.4,1.1027258587874235e-05
0.4,1.1795518741332382e-05
0.4,1.1632459170294577e-05
0.4,8.414005208297455e-06
0.4,1.3966468805911295e-05
0.4,1.3964809896228624e-05
0.4,8.377195104659267e-06
0.4,1.0946233149146716e-05
0.4,1.3694856026781845e-05
0.4,1.332538980777471e-05
0.4,5.286701791839141e-06
0.6,1.3287139294470496e-05
0.6,7.113332203233015e-05
0.6,3.0084085381592582e-05
0.6,3.194989110947812e-05
0.6,0.00010766068746561187
0.6,2.029350086631663e-05
0.6,5.5115758080090547e-05
0.6,4.0224892252686726e-05
0.6,2.1048165057973232e-05
0.6,4.298663527173815e-05
0.6,6.239212722403286e-05
0.8,1.6312255953386092e-05
0.8,3.272876820181043e-05
0.8,6.21478176836788e-05
0.8,5.322646660594929e-05
0.8,0.00010095815786112798
0.8,2.0254601347738176e-05
0.8,2.5598444987942813e-05
0.8,0.00012031141598919365
0.8,0.00010542575180680156
0.8,3.9170403305295884e-05
0.8,4.8515572913033636e-05
1.0,7.793635725743828e-05
1.0,6.606048035899354e-05
1.0,6.961790181675251e-05
1.0,5.977715688173162e-05
1.0,5.5402100618162764e-05
1.0,4.2781098079833645e-05
1.0,6.168216617630167e-05
1.0,6.668836198461876e-05
1.0,4.9138444580269445e-05
1.0,7.770711609816994e-05
1.0,5.741578990366628e-05
1.2,6.321845401786145e-05
1.2,6.850250023598515e-05
1.2,6.912341537320382e-05
1.2,6.549943533766608e-05
1.2,6.292123990601154e-05
1.2,6.835021351129359e-05
1.2,6.66945177752359e-05
1.2,6.783607968300224e-05
1.2,6.910863097948646e-05
1.2,6.783646317995874e-05
1.2,6.20190750902167e-05
2.0,7.076126603686873e-06
2.0,8.30261093621763e-06
2.0,7.16377457918344e-06
2.0,7.610196049181117e-06
2.0,6.611688923869897e-06
2.0,7.310928893135748e-06
2.0,7.561154385824271e-06
2.0,7.802176972515785e-06
2.0,7.364635720366044e-06
2.0,6.4981817921582485e-06
2.0,6.473077314310601e-06
3.5,1.6426489675747513e-06
3.5,1.5140712761392027e-06
3.5,1.539981191530857e-06
3.5,1.5725518217459061e-06
3.5,1.6879197268791738e-06
3.5,1.5915291165350145e-06
3.5,1.9184144404429245e-06
3.5,1.7037423519822909e-06
3.5,1.5743869126361428e-06
3.5,1.6103366356825557e-06
3.5,1.4629962587457907e-06
5.0,1.307183093073527e-06
5.0,1.126338581495285e-06
5.0,1.1485526405532815e-06
5.0,1.2156637152663445e-06
5.0,1.2078264532142128e-06
5.0,1.2897701491676417e-06
5.0,1.2524833593028564e-06
5.0,1.322500228224424e-06
5.0,1.3049129863543417e-06
5.0,1.2697261858247144e-06
5.0,1.2709038026306366e-06
