h_mean,v_score
0.2,0.01994580508260777
0.2,0.04420411769001846
0.2,0.020227970849113708
0.2,0.00867400641988658
0.2,0.05355515041472033
0.2,0.010709209412793429
0.2,0.002844230772809879
0.2,0.00983714253876543
0.2,0.03541030191430926
0.2,0.008084471651805552
0.2,0.007504488496416018
0.6,0.029817846566893066
0.6,0.014820505877118568
0.6,0.013075629577619065
0.6,0.01599843070233625
0.6,0.008222048678702068
0.6,0.02358595397628724
0.6,0.006827026666936603
0.6,0.021409131553895008
0.6,0.013036937790265773
0.6,0.025925217891673222
0.6,0.01439024124042046
1.0,0.006539858342830075
1.0,0.0063081955187462724
1.0,0.026196997467655556
1.0,0.024380019371030213
1.0,0.015481450509451223
1.0,0.02216797787830017
1.0,0.02048059118042407
1.0,0.01780553797366982
1.0,0.008990698799448617
1.0,0.005340681365058145
1.0,0.003685642778817828
1.5,1.2749574571433786e-06
1.5,1.9617880994763884e-06
1.5,8.496016928865053e-06
1.5,2.5254945873880446e-06
1.5,0.00020920690022383398
1.5,5.702012120193945e-06
1.5,4.7984984688199845e-06
1.5,2.438605189943715e-06
1.5,2.041963864209541e-06
1.5,6.9052108369444895e-06
1.5,0.00011821411203823858
2.0,2.4117807556752643e-05
2.0,2.03512683530841e-05
2.0,1.1357947919011114e-05
2.0,3.450859457842396e-05
2.0,3.267075371603548e-05
2.0,2.500034112089497e-05
2.0,9.874733175830632e-06
2.0,1.151956001164454e-05
2.0,1.7399358587586366e-05
2.0,3.1046531436345025e-05
2.0,1.226846901308824e-05
2.8,4.200371115699778e-06
2.8,4.665189349438483e-06
2.8,3.864149229719655e-06
2.8,4.040504887440171e-06
2.8,4.0279276293992746e-06
2.8,4.508003927797675e-06
2.8,4.263007075213862e-06
2.8,4.043194970202633e-06
2.8,4.0122863623811225e-06
2.8,4.099744220684773e-06
2.8,4.173203072769453e-06
2.9,3.063176425674224e-06
2.9,3.412022531409538e-06
2.9,3.3687500137765887e-06
2.9,3.61064682190897e-06
2.9,3.874769033582172e-06
2.9,3.5587674513916095e-06
2.9,3.653292772430681e-06
2.9,3.0106214061997684e-06
2.9,3.465750128138629e-06
2.9,3.327518134989005e-06
2.9,3.3698422001025084e-06
3.0,2.752263890039579e-06
3.0,2.8898370994104436e-06
3.0,2.776063267631522e-06
3.0,3.047867986283962e-06
3.0,3.0286019880716142e-06
3.0,3.214609921585261e-06
3.0,2.729901405530838e-06
3.0,2.903433897324417e-06
3.0,2.8906829596830197e-06
3.0,3.0016121817983788e-06
3.0,2.546265565011108e-06
3.2,2.2438747073638918e-06
3.2,2.1657106456729167e-06
3.2,2.187916884787782e-06
3.2,2.327664098593519e-06
3.2,2.1316734446900634e-06
3.2,2.438956078445662e-06
3.2,2.058542253928063e-06
3.2,2.1958826343936182e-06
3.2,2.3914874324294114e-06
3.2,2.170287997811177e-06
3.2,2.1558524032295394e-06
3.4,1.4748691749409886e-06
3.4,1.6512123236842784e-06
3.4,1.6354806345070361e-06
3.4,1.6229332608242127e-06
3.4,1.69398938381979e-06
3.4,1.623719562713732e-06
3.4,1.54415352780938e-06
3.4,1.5314638849031768e-06
3.4,1.6478307041150647e-06
3.4,1.6239186675610343e-06
3.4,1.5607031685438225e-06
3.6,9.929816653762357e-07
3.6,1.1293099598992809e-06
3.6,1.1168979769366763e-06
3.6,1.2100821900635294e-06
3.6,1.1041034203554327e-06
3.6,1.1524010084808613e-06
3.6,1.0848303606181576e-06
3.6,1.1796849248984297e-06
3.6,1.2197882798355342e-06
3.6,1.2305876374930054e-06
3.6,1.0846668008909427e-06
4.0,7.937259534450805e-07
4.0,7.574680911234438e-07
4.0,8.056575445826569e-07
4.0,8.526247700268599e-07
4.0,7.497495978217012e-07
4.0,8.634382327957437e-07
4.0,8.17196356420109e-07
4.0,8.03588405290847e-07
4.0,8.146322553328736e-07
4.0,7.423925326946181e-07
4.0,7.324394664249127e-07
5.0,9.379430609966291e-07
5.0,8.829483799727461e-07
5.0,8.353597158108915e-07
5.0,8.667927646732232e-07
5.0,8.8326563001334e-07
5.0,9.223525414340608e-07
5.0,1.06479859128761e-06
5.0,8.554374607108845e-07
5.0,8.654348209214775e-07
5.0,7.88628447148185e-07
5.0,8.49032813075209e-07
