h_mean,v_score,r_hat
0.1,0.010022304276065874,1.0840359236299075
0.1,0.01289318395481839,1.077799683405852
0.1,0.0033557819890997188,1.0754747829382623
0.1,0.008568579862748666,1.106325563569349
0.1,0.004305526813363987,1.0549585576363798
0.1,0.02938576910097649,1.1082301167767856
0.1,0.001298431777228814,1.0937996159601862
0.1,0.004527838998990556,1.061648983073942
0.1,0.04814043132218369,1.172491040669093
0.1,0.03576198106747216,1.1652259028547722
0.1,0.04771231580595678,1.0925832821349282
0.4,9.147029701541365e-05,1.0811358472489876
0.4,3.452731459607903e-05,1.0265220504903927
0.4,3.599313489928399e-05,1.0127797121213888
0.4,2.4886965733258182e-05,1.0296131800347126
0.4,7.886824246666981e-05,1.0600960730257647
0.4,9.546424323154853e-05,1.1217273500081844
0.4,6.448237308021095e-05,1.0542661985450732
0.4,4.139402427886059e-05,1.1445823181423125
0.4,3.1328544353711144e-05,1.028878890356156
0.4,5.9399166074944275e-05,1.0565811047289704
0.4,5.0448398223043613e-05,1.0362261286042922
0.8,1.8317548521835706e-06,1.010982008416579
0.8,2.646621748398169e-05,1.0718790906258502
0.8,3.1069150749928325e-05,1.0230231308746884
0.8,5.0110704166803703e-05,1.071451059004409
0.8,4.5859573132604414e-05,1.0711316090595127
0.8,4.648346165892775e-05,1.0768704991705518
0.8,6.804318421744394e-05,1.1022767414279397
0.8,5.607658136695006e-05,1.1022022042514452
0.8,1.569514559345095e-06,1.0157341156297846
0.8,6.488243943330213e-05,1.0522972617411728
0.8,4.7680232543525984e-05,1.1044677864299524
0.9,5.3208853523680675e-06,1.0064634423300896
0.9,5.612827771645257e-06,1.0385936191218885
0.9,1.7892579615067021e-06,1.017468950225749
0.9,5.44658414350475e-06,1.091317396232475
0.9,4.902548523921964e-06,1.0356072138101522
0.9,5.7253529107641075e-06,1.0261375330276037
0.9,7.134525712884502e-06,1.031343278111733
0.9,4.477233334125726e-06,1.015950713947605
0.9,5.979594668804975e-06,1.026891457328484
0.9,1.286374929273013e-06,1.0171344103780344
0.9,1.36084677208497e-06,1.0081117523983394
0.95,2.956457473276641e-06,1.0092584724330873
0.95,2.8404417970602586e-06,1.00956368198708
0.95,4.406847060393624e-06,1.0119685905556404
0.95,2.7439824912583184e-06,1.0085575201216646
0.95,2.9744787564982003e-06,1.0204477323551189
0.95,4.1641046591523776e-06,1.033018590705455
0.95,5.701813281680871e-06,1.0378485595028124
0.95,3.2842211842269515e-06,1.0206738680936793
0.95,3.2454287312043696e-06,1.0457121096966198
0.95,4.637699146401429e-06,1.028388803124339
0.95,2.107473522111481e-06,1.017641732479849
1.0,3.805574931710692e-06,1.0100632072012128
1.0,2.8397204937899766e-06,1.0106161643153952
1.0,3.193318508015708e-06,1.0082751575655582
1.0,4.078622358539257e-06,1.019645134788554
1.0,4.61414720238022e-06,1.0040709449668535
1.0,3.1059673489511055e-06,1.0128129258494192
1.0,6.299920342662783e-06,1.0395026009751425
1.0,3.4119954856398844e-06,1.007039634688147
1.0,3.6769432693245915e-06,1.0278118217358196
1.0,3.941377112754379e-06,1.015464041372888
1.0,4.110694244698051e-06,1.0052149975093285
1.05,5.645554631787889e-06,1.018058447409872
1.05,5.964220133370587e-06,1.0155836900079425
1.05,5.838011099141574e-06,1.0172466855841218
1.05,5.019507464878954e-06,1.0089844562944865
1.05,5.396527963442849e-06,1.0092915305023804
1.05,5.19744989886296e-06,1.0147664786967028
1.05,5.863272576606265e-06,1.0313192879845567
1.05,5.569122728933167e-06,1.0373288548894222
1.05,5.8420727885721e-06,1.0236688343737699
1.05,6.539300395930319e-06,1.0325276694517878
1.05,3.633288063332812e-06,1.032867455989396
1.2,4.046883346752085e-06,1.0076729157688813
1.2,4.607198303156794e-06,1.0166048127000482
1.2,4.80608448574349e-06,1.0112359640917405
1.2,4.426991747855584e-06,1.0062549369378118
1.2,4.331854419270238e-06,1.0097785034594584
1.2,4.588955854759196e-06,1.0045641990608665
1.2,5.272074660822413e-06,1.0128714646123347
1.2,3.930892462981762e-06,1.0143591912140313
1.2,3.7349117943206386e-06,1.0109349699367218
1.2,4.280128921337721e-06,1.0131501844193938
1.2,3.0330096687596064e-06,1.0158185358821064
2.5,5.361729003080364e-07,1.009537887639262
2.5,4.916903652171706e-07,1.0038649779445745
2.5,5.379838901767926e-07,1.0040565272382922
2.5,6.163442364660027e-07,1.0145662987019062
2.5,5.23468000390654e-07,1.0102226912529169
2.5,5.24298267927041e-07,1.0063489524517173
2.5,4.897802335706142e-07,1.012545111612064
2.5,5.978049274696744e-07,1.0072119766077179
2.5,5.142465543184511e-07,1.0099633259523682
2.5,5.030024525199456e-07,1.010759297530112
2.5,3.2183406522351187e-07,1.0055521873666509
4.0,2.0423866560288773e-07,1.0027219308513753
4.0,1.9684831895882762e-07,1.0115851499109896
4.0,2.2754739611539633e-07,1.0119025122724004
4.0,2.1906228506056517e-07,1.0107992646528925
4.0,2.020316703373817e-07,1.0105927024114625
4.0,1.787016550914477e-07,1.007859835406766
4.0,2.1750082358930428e-07,1.00996684380007
4.0,2.0758519472292042e-07,1.013525333273443
4.0,1.859851795445019e-07,1.0127166614511436
4.0,2.0991951987296742e-07,1.0048123440249508
4.0,1.419430252110766e-07,1.008838886128339
