H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0,0.2133333333333333,0.05640593612049736,0.9999999999999999,6.409875621278547e-18,0.0,-49.0,0.0
0.2,0.09962585034013605,0.057090052909204284,0.9878578370123557,0.0012166328706738506,2.4752624018195888e-06,-49.49137788119928,0.0060628990254291085
0.4,0.1889795918367347,0.05537246650402874,0.9560988477023461,0.002393905493458542,1.298929966476887e-06,-50.97960844701268,0.00337581568859921
0.6,0.09816326530612245,0.054407764779872136,0.8990642787727334,0.003748531718297508,4.6702507159313145e-06,-53.51502408421321,0.01337493395354357
0.8,0.15503401360544217,0.05048011869612378,0.7920588643620712,0.005865141916087686,1.469187917412554e-05,-57.221172607140616,0.04810507042328436
0.9,0.09772108843537414,0.04574741719133683,0.6438150770512285,0.010714062804269214,2.2508861355109646e-05,-59.550901586660125,0.0798233974063154
0.95,0.057414965986394555,0.039276306949562065,0.477392753019575,0.013541938106222366,2.7276146344039962e-05,-60.884134784623754,0.10110934321993152
1.0,0.018979591836734692,0.03225928451413734,0.3287963348604747,0.012962840378013587,2.3184117279874245e-05,-62.39207655710773,0.09025046444115048
1.05,0.014795918367346936,0.024111598107790018,0.1928196584756351,0.010570738856962672,2.3240605058544094e-05,-64.02035928094497,0.09525409269002276
1.1,0.011972789115646258,0.018782502230893706,0.12555879494655003,0.007202772671335237,2.1509850277940057e-05,-65.80274145100773,0.09313766853425366
1.2,0.02064625850340136,0.014119327307371702,0.08101901985283909,0.004665946069632608,2.045086039622195e-05,-69.54753635816506,0.09891794480178609
1.4,-0.005680272108843539,0.011040023939665928,0.05760099958350687,0.003146422657446467,1.014439319634421e-05,-77.6661257997141,0.061191254640302895
1.6,-0.009217687074829931,0.01000972482080915,0.05076218242399,0.0024680675394373945,5.138532224497296e-06,-86.25340985557644,0.038228884921146886
1.8,0.014829931972789114,0.008436769323580553,0.0418436762460086,0.0018461974557492959,3.070166168754628e-06,-95.14253983651236,0.027791460038348408
2.0,0.01802721088435374,0.007901534539293459,0.038361793697070656,0.001799306329537874,1.989241359299647e-06,-104.22782827449352,0.021610004523894874
2.3,-0.008129251700680271,0.006763543364425013,0.032519783423573506,0.0014206385157537243,1.2266252914191074e-06,-118.09521285120164,0.017107104233634412
2.6,0.001122448979591836,0.006592269349689882,0.031075940580313755,0.001364043887730913,7.460706404809665e-07,-132.16027123538228,0.013031121451052423
3.0,0.010136054421768709,0.006099729829819635,0.028824101068999027,0.0011698500305257309,4.441150069160857e-07,-151.1032418798393,0.010140118089454805
3.5,-0.0029591836734693872,0.0057758837807755335,0.02709148965708732,0.001222031298637804,2.977229438787486e-07,-175.01839498637935,0.009119682070352946
4.0,0.003265306122448981,0.005601337576518636,0.02695543523531861,0.0011288393651340866,1.8701029114918283e-07,-199.07365410166622,0.007411277636164689
4.5,0.006938775510204082,0.005267529281578553,0.02530889906983201,0.0010579578285726467,1.2199529826852336e-07,-223.22921626420353,0.006079182231947753
5.0,-0.0016666666666666672,0.0051376305941479,0.02328196584756351,0.0010329561369783677,9.191031675966656e-08,-247.4550572161335,0.005628036827431619
