h_mean,v_score
0.2,7.477246368722767e-06
0.2,9.719060125299617e-06
0.2,4.143963116020185e-06
0.2,9.365887440352106e-06
0.2,1.997625258869045e-05
0.2,4.44625338969373e-06
0.2,1.2035957558169037e-05
0.2,8.749971808836422e-06
0.2,7.75276248563787e-06
0.2,5.850229283330545e-06
0.2,9.953356752298222e-07
0.6,1.495884814913488e-06
0.6,2.6085189782511467e-06
0.6,2.2962163696990975e-06
0.6,2.5744787294962223e-06
0.6,2.553383102052163e-06
0.6,1.749889521066883e-06
0.6,2.49927569991048e-06
0.6,2.6740080247724454e-06
0.6,1.7671725971982764e-06
0.6,2.784901323716707e-06
0.6,4.6471102872082367e-07
1.0,1.9466143490953183e-06
1.0,1.6853552741469318e-06
1.0,1.570061206404429e-06
1.0,1.5844855045777766e-06
1.0,1.4254225763614538e-06
1.0,1.8101444571141411e-06
1.0,1.7218939475922577e-06
1.0,1.6180585919342378e-06
1.0,2.079584316944528e-06
1.0,1.98157809204288e-06
1.0,1.0081912301671966e-06
1.5,3.4882238531528335e-06
1.5,3.273277452543102e-06
1.5,2.950286015814416e-06
1.5,3.375805718152024e-06
1.5,3.3087642137014022e-06
1.5,2.8595189219676863e-06
1.5,2.5321142849324435e-06
1.5,2.5387314899223856e-06
1.5,4.15158606121845e-06
1.5,2.9313955833729856e-06
1.5,2.5309998659989473e-06
2.0,5.76633602272913e-06
2.0,6.108883630082136e-06
2.0,6.400461541063564e-06
2.0,6.262315825786117e-06
2.0,6.199818428275459e-06
2.0,5.064759723913787e-06
2.0,6.513841595458189e-06
2.0,7.233207979353319e-06
2.0,6.1192301535373274e-06
2.0,5.24863458863619e-06
2.0,5.581166225050464e-06
2.8,1.1420197023148732e-05
2.8,1.1318115289140624e-05
2.8,1.1534823949477679e-05
2.8,1.1062352929843889e-05
2.8,1.2277046074733024e-05
2.8,1.1529181789414508e-05
2.8,1.0182737944165967e-05
2.8,1.1274476567257473e-05
2.8,1.0954224863308196e-05
2.8,1.4604312037967718e-05
2.8,1.0319934428758598e-05
2.9,1.1179776735037057e-05
2.9,9.997593013438428e-06
2.9,1.1226501900994358e-05
2.9,9.939481383754563e-06
2.9,1.0531899976683685e-05
2.9,1.1250534501196728e-05
2.9,9.973875741247217e-06
2.9,9.972458852269418e-06
2.9,1.1596756521293382e-05
2.9,1.2683237993483972e-05
2.9,1.009539816411793e-05
3.0,9.384241128130668e-06
3.0,1.0020326847590895e-05
3.0,1.079743687347746e-05
3.0,9.645626165473422e-06
3.0,9.93320523524366e-06
3.0,8.88456031078312e-06
3.0,9.547593520271444e-06
3.0,9.629203767842357e-06
3.0,9.62095798380354e-06
3.0,9.28784452431053e-06
3.0,9.81078324102771e-06
3.2,6.884879053311925e-06
3.2,7.1025880985026524e-06
3.2,6.972153416531665e-06
3.2,6.41350636311147e-06
3.2,6.054993687388808e-06
3.2,7.023758564103941e-06
3.2,6.707752943265006e-06
3.2,6.360217954171424e-06
3.2,6.875922639979935e-06
3.2,7.044974415018292e-06
3.2,6.231422139832481e-06
3.4,4.7159390820917296e-06
3.4,4.176596726880646e-06
3.4,4.4633056456992335e-06
3.4,4.067031957583048e-06
3.4,5.032691478764432e-06
3.4,4.793202956366042e-06
3.4,3.992593465057122e-06
3.4,4.201448898591605e-06
3.4,3.984075431977636e-06
3.4,4.2367181017793465e-06
3.4,3.5187454746036095e-06
3.6,2.7852457473397988e-06
3.6,2.644976580961005e-06
3.6,3.097450536802314e-06
3.6,2.629338678952059e-06
3.6,3.179027870331094e-06
3.6,3.0430230768988483e-06
3.6,2.5995342327111235e-06
3.6,2.9829338424507795e-06
3.6,2.817926133001631e-06
3.6,2.718470048544888e-06
3.6,2.417085946865431e-06
4.0,1.8674157641125996e-06
4.0,1.919713755523318e-06
4.0,2.0367883528718165e-06
4.0,1.747050264438248e-06
4.0,1.8128699597740255e-06
4.0,1.9209815761237977e-06
4.0,1.9057278348300616e-06
4.0,1.9320974296515055e-06
4.0,1.93049731398513e-06
4.0,1.9016886621435421e-06
4.0,1.610301164277288e-06
5.0,3.6526323757495727e-06
5.0,3.678469793694252e-06
5.0,3.420832359528847e-06
5.0,3.4583313298099965e-06
5.0,3.2352986544775806e-06
5.0,3.7749893310481845e-06
5.0,3.815176331958962e-06
5.0,3.2817417208303125e-06
5.0,3.581318650883736e-06
5.0,3.571997208658231e-06
5.0,3.6712729784260164e-06
