d_spin,d_coup,split,sigma_test,replica,v_score
4,12,4/12,0.21076923076923076,4,2.7188767019382722e-05
4,12,4/12,0.21076923076923076,5,1.539654604218442e-05
4,12,4/12,0.21076923076923076,6,2.407821626145296e-05
4,12,4/12,0.21076923076923076,7,5.74921880248034e-05
4,12,4/12,0.21076923076923076,8,1.2020927419173384e-05
4,12,4/12,0.21076923076923076,9,1.5724213517455043e-05
4,12,4/12,0.21820512820512822,0,3.369942036753828e-05
4,12,4/12,0.21820512820512822,1,1.6883488147181074e-05
4,12,4/12,0.21820512820512822,2,2.6162917831120742e-05
4,12,4/12,0.21820512820512822,3,2.4757488141533932e-05
4,12,4/12,0.21820512820512822,4,2.5693595857049963e-05
4,12,4/12,0.21820512820512822,5,6.67879699528926e-05
4,12,4/12,0.21820512820512822,6,2.290609061956417e-05
4,12,4/12,0.21820512820512822,7,3.0306672309905177e-05
4,12,4/12,0.21820512820512822,8,1.4577537029027064e-05
4,12,4/12,0.21820512820512822,9,1.148231027446006e-05
4,12,4/12,0.22564102564102564,0,2.1201725709280005e-05
4,12,4/12,0.22564102564102564,1,3.119107315640737e-05
4,12,4/12,0.22564102564102564,2,1.4363086525894298e-05
4,12,4/12,0.22564102564102564,3,4.0076861025224386e-05
4,12,4/12,0.22564102564102564,4,2.517626505510125e-05
4,12,4/12,0.22564102564102564,5,2.737956477302332e-05
4,12,4/12,0.22564102564102564,6,2.7976528982149097e-05
4,12,4/12,0.22564102564102564,7,2.484460412587153e-05
4,12,4/12,0.22564102564102564,8,4.71001002890737e-05
4,12,4/12,0.22564102564102564,9,2.9125126812252796e-05
4,12,4/12,0.23307692307692307,0,2.6140924572332615e-05
4,12,4/12,0.23307692307692307,1,2.990476794970003e-05
4,12,4/12,0.23307692307692307,2,4.88919486462916e-05
4,12,4/12,0.23307692307692307,3,1.4187289708280228e-05
4,12,4/12,0.23307692307692307,4,5.825621523930564e-05
4,12,4/12,0.23307692307692307,5,7.839346716631092e-05
4,12,4/12,0.23307692307692307,6,3.0038424431694986e-05
4,12,4/12,0.23307692307692307,7,3.214201356544218e-05
4,12,4/12,0.23307692307692307,8,4.357106650229692e-05
4,12,4/12,0.23307692307692307,9,1.4933895768256495e-05
4,12,4/12,0.24051282051282052,0,4.106429980479573e-05
4,12,4/12,0.24051282051282052,1,4.958829573893052e-05
4,12,4/12,0.24051282051282052,2,9.019809477502979e-05
4,12,4/12,0.24051282051282052,3,0.00012284181456862606
4,12,4/12,0.24051282051282052,4,6.960004295395425e-05
4,12,4/12,0.24051282051282052,5,5.580423757423204e-05
4,12,4/12,0.24051282051282052,6,3.724016832084701e-05
4,12,4/12,0.24051282051282052,7,4.5971333463088994e-05
4,12,4/12,0.24051282051282052,8,2.8835522522720897e-05
4,12,4/12,0.24051282051282052,9,3.384609646542004e-05
4,12,4/12,0.24794871794871795,0,2.1376807905997527e-05
4,12,4/12,0.24794871794871795,1,6.507805596627647e-05
4,12,4/12,0.24794871794871795,2,7.777124590308542e-05
4,12,4/12,0.24794871794871795,3,2.9666099412228714e-05
4,12,4/12,0.24794871794871795,4,2.126617679012295e-05
4,12,4/12,0.24794871794871795,5,1.0635395976251746e-05
4,12,4/12,0.24794871794871795,6,3.498211830757316e-05
4,12,4/12,0.24794871794871795,7,6.769932784199451e-05
4,12,4/12,0.24794871794871795,8,2.975109423802732e-05
4,12,4/12,0.24794871794871795,9,6.229316985802942e-05
4,12,4/12,0.2553846153846154,0,3.306188082965348e-05
4,12,4/12,0.2553846153846154,1,2.027481924212934e-05
4,12,4/12,0.2553846153846154,2,7.778776869689885e-05
4,12,4/12,0.2553846153846154,3,1.1089569495388552e-05
4,12,4/12,0.2553846153846154,4,2.0027683539448835e-05
4,12,4/12,0.2553846153846154,5,2.091167289548131e-05
4,12,4/12,0.2553846153846154,6,5.321151397480122e-05
4,12,4/12,0.2553846153846154,7,7.073953788786472e-05
4,12,4/12,0.2553846153846154,8,9.542979987792638e-05
4,12,4/12,0.2553846153846154,9,6.26388752576799e-05
4,12,4/12,0.26282051282051283,0,0.00013671546702930068
4,12,4/12,0.26282051282051283,1,3.399170522363401e-05
4,12,4/12,0.26282051282051283,2,0.00011318418190995595
4,12,4/12,0.26282051282051283,3,0.0001427178001834001
4,12,4/12,0.26282051282051283,4,4.733372049292671e-05
4,12,4/12,0.26282051282051283,5,6.490844823691282e-05
4,12,4/12,0.26282051282051283,6,0.0001084474906097012
4,12,4/12,0.26282051282051283,7,2.6665290910683712e-05
4,12,4/12,0.26282051282051283,8,0.0001424010176370538
4,12,4/12,0.26282051282051283,9,6.59690510416824e-05
4,12,4/12,0.2702564102564103,0,5.7359616359713035e-05
4,12,4/12,0.2702564102564103,1,2.210117965367317e-05
4,12,4/12,0.2702564102564103,2,4.438631910667755e-05
