H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0,0.15319444444444447,0.05704546763842348,0.999729938271605,0.00015513865171977676,3.080414807577141e-05,-35.99,0.039900000000000005
0.2,0.0725,0.05728177486622091,0.989783950617284,0.001336208272644636,6.706749415997571e-06,-36.355198853958164,0.00886431394725139
0.4,0.0713425925925926,0.05630820028007853,0.9570087448559671,0.0028462461252949513,6.79833913981866e-07,-37.45509098015863,0.0009537280120347878
0.6,0.07699074074074075,0.05420666528613078,0.8895498971193415,0.004908645294818062,1.2861643372543013e-05,-39.314897828954436,0.019879743017295066
0.8,0.0775,0.05030141232230618,0.7704989711934157,0.008090835178717408,1.6124905753697224e-05,-42.036880113772476,0.028494309503832645
0.9,-0.013796296296296298,0.045553437984007086,0.6321244855967079,0.012121453158909206,1.768833319377236e-05,-43.76412254390027,0.033878436654506086
0.95,0.002500000000000003,0.04135553279299631,0.5271244855967079,0.013829912829294529,1.8131664075766632e-05,-44.7469525035754,0.03630484528088129
1.0,0.042685185185185194,0.0350673094530008,0.38945473251028806,0.014376589340692686,1.1858457473566882e-05,-45.845916571577824,0.024924675909975914
1.05,-0.00824074074074074,0.028104269019643382,0.2604526748971194,0.012442209939199846,7.81217241613515e-06,-47.048167308520085,0.01729247837616673
1.1,-0.001250000000000003,0.0229175818186146,0.1809490740740741,0.010025457868945127,5.4323523649491956e-06,-48.34053750727406,0.012694362110264914
1.2,-0.010370370370370374,0.01768256395803104,0.12242283950617283,0.006976380859025398,3.053851532265378e-06,-51.10092015713753,0.007974534846532003
1.4,0.01912037037037037,0.012092858161207688,0.07414351851851853,0.003611058507129192,1.8680585792050444e-06,-57.064540309209384,0.006083074524073462
1.6,-0.01527777777777778,0.011352036884480768,0.06622427983539095,0.0032101351633354743,1.750772747415798e-06,-63.38048582815488,0.007033004664485678
1.8,-0.006666666666666667,0.009675469597603849,0.053672839506172854,0.0025878830559108476,1.4070390822182695e-06,-69.90613484103638,0.006876013827226969
2.0,-0.016435185185185185,0.009614361634847801,0.054565329218106993,0.002636236469549131,1.4477662150477708e-06,-76.57579766112676,0.008489487955666182
2.3,-0.005509259259259259,0.00876918295356347,0.04847479423868314,0.0024104908037859973,1.2455751019379638e-06,-86.7621107789093,0.009376270688258748
2.6,0.0030092592592592593,0.007751957343132669,0.043052983539094654,0.0019735506444131913,1.0700440095154661e-06,-97.09388209681848,0.010087542363944848
3.0,-0.011296296296296296,0.00763840439915136,0.04152777777777778,0.0017602634879577562,7.858340485310156e-07,-111.02034682564492,0.009685811245979115
3.5,-0.00837962962962963,0.007421542743687983,0.03943158436213992,0.0017588715276670218,5.41072205921992e-07,-128.58462888114624,0.008946091523619738
4.0,0.011944444444444443,0.006992445217765871,0.038276748971193424,0.0016109604675571922,3.748596400334977e-07,-146.26072234350488,0.00801907197934536
4.5,0.004212962962962964,0.00667941756860463,0.03798096707818931,0.0016265437724881007,2.615332311925307e-07,-164.0073682626901,0.007034829871293558
5.0,0.001018518518518518,0.006307585648801281,0.034434156378600825,0.0014575011294532423,1.77394803528227e-07,-181.8045333483177,0.005863410634179017
