H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0,0.06669270833333334,0.05760498250360966,0.9999487304687501,5.118401070464041e-05,3.252834487824158e-06,-63.99666666666667,0.01332222222222222
0.2,0.2854166666666667,0.05509013897406426,0.9920231119791667,0.0007849651530784167,1.3472299936372913e-06,-64.63930730991534,0.005629050315310606
0.4,0.032317708333333334,0.056457308694160255,0.95768310546875,0.0018923333264176687,6.011123364942426e-07,-66.58524148971648,0.0026650882793805802
0.6,0.12088541666666668,0.05426756419762975,0.8991682942708334,0.0029116410130068985,2.551234121470388e-06,-69.90058530225954,0.012465564186104339
0.8,0.11611979166666668,0.05075146961085279,0.7888028971354167,0.005187746547464285,1.4762717574630636e-05,-74.72158763549344,0.08242491220041549
0.9,0.0008854166666666667,0.04641687403719512,0.6516341145833334,0.009924913589773286,3.7742951628718256e-05,-77.78075048039746,0.22833901268006174
0.95,0.011223958333333334,0.03713979744083207,0.42211507161458334,0.01373884106874767,5.773519838416548e-05,-79.47483417140538,0.3646699044493963
1.0,0.004140625,0.025486301174950734,0.2074064127604167,0.01110541083350008,6.392056292349601e-05,-81.42569979374078,0.4238025742588432
1.05,0.0025,0.020530799451762036,0.14062174479166667,0.008110210535998015,4.886786783945291e-05,-83.55498205935989,0.341167844226229
1.1,-0.0018750000000000001,0.016922409611181594,0.1016796875,0.005786094519036435,3.900275260003518e-05,-85.901690024467,0.2878052253252053
1.2,-0.0022656250000000003,0.012172181712813016,0.06021728515625,0.0036400773387318215,2.2454736293806983e-05,-90.81553876446466,0.18519458612382358
1.4,0.021848958333333335,0.009888243960187006,0.04602945963541667,0.0022720570951247545,8.41474995780541e-06,-101.4375608215409,0.08658423231389044
1.6,0.005416666666666667,0.008417534677463248,0.03684733072916667,0.0019633451116633526,3.735146619703134e-06,-112.67402448245383,0.04741931408815332
1.8,0.0022395833333333334,0.0071595805619001154,0.0308447265625,0.0014815980065181304,2.3298140912548253e-06,-124.27629856287503,0.03598304294995364
2.0,0.0033854166666666668,0.006862246825635834,0.028411458333333334,0.0013898806125446875,1.4026519459738103e-06,-136.1358137381568,0.025995292103087233
2.3,0.003932291666666667,0.006121231915334826,0.025938313802083335,0.0011123329679735394,7.615812947496119e-07,-154.2373487555365,0.01811737908427627
2.6,-0.006822916666666667,0.006025547972670127,0.024500325520833335,0.0012001493756900834,4.930213231314382e-07,-172.6145953161022,0.014689964008185938
3.0,-0.0071875,0.005512478938294358,0.022872721354166667,0.0010591791360946299,2.899007545986873e-07,-197.37168740547992,0.011293252904425937
3.5,-0.004296875,0.005208349609349569,0.02178955078125,0.0008922619898591334,1.7740107436405494e-07,-228.59599562212725,0.009270293464754144
4.0,-0.00171875,0.0051791814368588,0.021761067708333335,0.0009347432424352362,1.1363304880621152e-07,-260.01374816042016,0.0076824064883775885
4.5,0.0006510416666666667,0.004510918577331414,0.01918701171875,0.0007694603359640955,7.909269353546594e-08,-291.56532339706376,0.006723696595565659
5.0,0.007578125000000001,0.004960150035926964,0.01981852213541667,0.0007504762782645438,5.50828551159998e-08,-323.2069441611916,0.0057541053529794285
