H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0,-0.31898333333333334,0.05293328242195985,0.9423416666666669,0.012802616394561562,9.539829467016209e-05,-99.74666666666667,0.9491555555555552
0.2,-0.05311666666666667,0.05735503571000803,0.9897630000000003,0.0007300018211545034,1.3236423116144288e-06,-100.9962039783146,0.013501460275718625
0.4,-0.11770000000000001,0.05608194034921878,0.9576620000000001,0.0016055973855373749,6.790146321398567e-07,-104.04296836614347,0.007350292153936913
0.6,0.10248333333333336,0.054343840999966406,0.8971690000000003,0.0024578539005943125,1.2225848514934077e-05,-109.20945921147946,0.14581410060908934
0.7,-0.06621666666666666,0.0530867561341984,0.8509383333333336,0.003016432162462924,1.7738013897324723e-05,-112.65332088492481,0.22510906715791726
0.8,-0.5083666666666666,0.041975217512065205,0.7885906666666669,0.0037867072971216153,8.330065687247188e-06,-116.74900075373093,0.11354153738316745
0.85,-0.33105,0.04604742051528089,0.7476503333333336,0.004279644468575331,1.2229329379540843e-05,-119.04373024179785,0.1733068371145695
0.875,-0.13946666666666668,0.04798664914636462,0.7127000000000002,0.005039558821078601,1.8342235684350665e-05,-120.25238159993887,0.26524038045958437
0.9,0.05543333333333335,0.04717423304053775,0.6736453333333335,0.005245455115798045,2.4141134876128032e-05,-121.5161839831914,0.3564724146804155
0.925,-0.1471666666666667,0.04483629378908053,0.6280773333333336,0.005937870293357777,3.464594308181588e-05,-122.80828709377161,0.5225257959446256
0.9375,-0.06508333333333333,0.04084013180366514,0.5096010000000002,0.010010848631859344,6.718597014913208e-05,-123.32897004707993,1.0219009475924201
0.95,0.005149999999999998,0.03227682661153527,0.31916100000000014,0.01271185573204095,7.823920846698679e-05,-123.94886389581812,1.2020140635939969
0.975,-0.004900000000000001,0.0257898013865085,0.20723533333333338,0.011220315427070802,6.671584457928994e-05,-125.53555054902651,1.0513866334140107
1.0,0.014033333333333332,0.020730806294730307,0.13711866666666672,0.00849790645817262,5.5810444173869325e-05,-127.11943670772553,0.9018605674134628
1.05,0.007800000000000001,0.01640287847367718,0.08969000000000002,0.006065492148210235,3.938401473256336e-05,-130.55936629628792,0.6713299953884396
1.1,0.026250000000000002,0.013604250254975468,0.06515233333333335,0.004217545057872553,2.6693886292601193e-05,-134.21967403152087,0.4808882499981324
1.2,0.015100000000000004,0.010900890381574853,0.04574066666666668,0.0028869290178447538,0.00022273418153205494,-141.2781585577951,4.4456669245439695
1.4,0.005433333333333332,0.007928460454917158,0.029032666666666672,0.001414323237715036,0.0001553768410471362,-158.03215209717882,3.8804062589711483
1.6,-0.008466666666666667,0.006836945928529027,0.023848000000000005,0.001169009689152889,0.00010672008412316177,-175.7555056300671,3.2965831594346984
1.8,0.008300000000000004,0.005766602119099254,0.01972466666666667,0.0009078224096195289,7.19857292654809e-05,-194.00361899123243,2.709355987678995
2.0,-0.0006333333333333335,0.005338413899555089,0.017728000000000004,0.0007888216584811101,5.375843905176716e-05,-212.56865482863302,2.4290983467997713
3.0,-0.0002166666666666665,0.003991742750376731,0.014122333333333337,0.0005962346701189491,1.2958071357026215e-05,-308.32046863062396,1.2318138477248404
4.0,-0.0016666666666666668,0.003979065589175801,0.013013333333333335,0.0006240686097134111,4.723033564802029e-06,-406.2158811215843,0.7793541071950731
5.0,-0.0073,0.0038983087501006275,0.012629333333333338,0.0005121842319004046,2.1026193157064008e-06,-504.98835664387207,0.5361957649121231
