h_mean,v_score,r_hat
0.8,2.2809495538470522e-05,1.0188744377941379
0.8,2.697850485772209e-05,1.0130480567934426
0.8,3.737883382893825e-05,1.0309784080320807
0.8,3.165709024794652e-05,1.0319125544827294
0.8,3.0215405039895393e-05,1.007795698054446
0.8,2.3662916049277704e-05,1.0024926601621433
0.8,2.1002784781352713e-05,1.0074215729729956
0.8,1.918393224686779e-05,1.0128067615827652
0.8,1.863654082751694e-05,1.020053439847171
0.8,3.0421498384395387e-05,1.0244495545929753
0.8,3.012757549478276e-05,1.0276624072917742
0.97,1.5679609171841266e-05,1.0189189210130114
0.97,1.6696204238817296e-05,1.0073191085562538
0.97,1.552156603769018e-05,1.0170448012696731
0.97,2.0930418355623986e-05,1.008866264107436
0.97,1.9844694377243985e-05,1.0118476198557993
0.97,1.5485922720990718e-05,1.0056493318791502
0.97,1.736200253532866e-05,1.0162147126836107
0.97,1.762101696696789e-05,1.0159160325594239
0.97,1.5614260337698905e-05,1.009888055001605
0.97,2.4403016966264073e-05,1.0165828589924344
0.97,1.3781411005256141e-05,1.014617498067625
0.9786,1.7803479832387272e-05,1.0165922666335205
0.9786,1.4090492573738187e-05,1.0119559562050846
0.9786,1.6872553886124168e-05,1.0228325192658634
0.9786,1.8432679775117814e-05,1.0245822997161722
0.9786,1.974226057600037e-05,1.0050856984405356
0.9786,1.73601186354244e-05,1.0139810583919633
0.9786,1.525649606191568e-05,1.0108052218470773
0.9786,2.016001273669782e-05,1.0195905178322273
0.9786,1.878172517252149e-05,1.0232928500134078
0.9786,1.8637684554309852e-05,1.0196940090493114
0.9786,1.2803604670541201e-05,1.0170856598952773
0.9871,1.4450717803489155e-05,1.0083638774390333
0.9871,1.4572232761097562e-05,1.0107802478370072
0.9871,1.9385054831753306e-05,1.004777355754619
0.9871,1.4759073187330859e-05,1.0105821236825867
0.9871,2.2905215585586033e-05,1.019400429706263
0.9871,1.2339542253190693e-05,1.014720498625052
0.9871,1.4036923691900825e-05,1.0153437413330535
0.9871,1.6687062014214135e-05,1.01777326911382
0.9871,1.5688328486574292e-05,1.0124607877010205
0.9871,1.6529251243756543e-05,1.0082319969869393
0.9871,1.2516499913936344e-05,1.0110601958573462
0.9957,1.6290844664170156e-05,1.0220620213982734
0.9957,1.6183920430400623e-05,1.0083546807933284
0.9957,1.362813514029271e-05,1.0143201537124982
0.9957,1.6791919395070708e-05,1.0093531381223169
0.9957,1.3727038432912729e-05,1.0096904139396299
0.9957,1.3196124977979731e-05,1.017087473327859
0.9957,1.6181884943812904e-05,1.0172409345486502
0.9957,1.6662386271165414e-05,1.031801041823488
0.9957,1.383753512661654e-05,1.0091977310888987
0.9957,1.702791586959074e-05,1.0122146566881933
0.9957,1.2854524891640343e-05,1.011958517990706
1.0043,1.641860921059965e-05,1.0161499655714687
1.0043,1.567717573503769e-05,1.0228716960194348
1.0043,1.360005411089905e-05,1.0191001433999634
1.0043,1.4716319475409144e-05,1.0220941642105907
1.0043,1.535220374181506e-05,1.0094190831661534
1.0043,1.3800176532896442e-05,1.00961831472798
1.0043,1.869221250402808e-05,1.016296272704919
1.0043,1.7526024353548994e-05,1.0099964822708496
1.0043,1.738800612821551e-05,1.0141035087819956
1.0043,1.2709280976903417e-05,1.0227739239328868
1.0043,1.2637325727717584e-05,1.0111054409745772
1.0129,1.4934140906157322e-05,1.0158908873547683
1.0129,1.4184984152830377e-05,1.0114736223810563
1.0129,1.280068770233296e-05,1.0147167775939758
1.0129,1.88159011330592e-05,1.0116116869845417
1.0129,1.4263498150534824e-05,1.0111822611969608
1.0129,1.627329968264988e-05,1.0169283996843916
1.0129,1.747977699856611e-05,1.017717564363488
1.0129,1.8446924589726646e-05,1.0150220475062024
1.0129,1.8462549799963024e-05,1.008522092461899
1.0129,1.3317228110973197e-05,1.0221929753375032
1.0129,1.1391777833486451e-05,1.0137326836651912
1.0214,1.4569115996334919e-05,1.0164506399188535
1.0214,1.3410148889314594e-05,1.0108937320662095
1.0214,1.5483628430451836e-05,1.0069569504735487
1.0214,1.285466241642634e-05,1.0096862504664992
1.0214,1.70362602632803e-05,1.008376830729669
1.0214,1.2345432203668398e-05,1.0130495856650807
1.0214,1.2265174076959992e-05,1.0139872972878043
1.0214,1.7976198727220893e-05,1.0105943046695487
1.0214,1.3460574941288582e-05,1.0037737079990483
1.0214,1.5341086414937236e-05,1.0171270405454187
1.0214,1.173420062569774e-05,1.0085131112899506
1.03,1.446639959529979e-05,1.0144057945342877
1.03,1.5811982262237038e-05,1.0107798942772286
1.03,1.5614921952063792e-05,1.0158425507448463
1.03,1.6895816733236577e-05,1.0084808707715676
1.03,1.504781921965496e-05,1.016035880596916
1.03,1.4214437936647283e-05,1.0138548326860026
1.03,1.8455225438678252e-05,1.0071860273697106
1.03,1.5938661927335866e-05,1.0068182392066982
1.03,1.690757418201291e-05,1.006055899929275
1.03,1.3978317780021651e-05,1.010224882813763
1.03,1.1547279686151312e-05,1.0119414114776724
1.2,2.106708831631407e-05,1.02374290847796
1.2,1.9117520444137524e-05,1.0072547617567376
1.2,1.4849501113862594e-05,1.0075458807896016
1.2,1.9846156681015214e-05,1.0093645948767773
1.2,1.819820455678526e-05,1.009691861865635
1.2,1.8179221710312252e-05,1.0168842546330643
1.2,1.50079187595267e-05,1.0190824884539493
1.2,1.6390935459763102e-05,1.012622781234752
1.2,2.0191517556001237e-05,1.0143253086063608
1.2,1.904456883094556e-05,1.0085368770385121
1.2,1.3555276275263526e-05,1.0144176425760074
