h_mean,v_score
0.1,287.177972133889
0.1,16.198562150970623
0.1,2.8785095440790296
0.1,5.179457140176116
0.1,4.018074703772727
0.1,0.13586898897939723
0.1,37.42206501650281
0.1,31.961893957643678
0.1,12.816248115882829
0.1,0.8013719728095732
0.1,0.8099736859566986
0.2,31.45501550096752
0.2,7.573697023415238
0.2,12.100230795119236
0.2,4.521845607701734
0.2,6.617302428556034
0.2,0.31820031170393764
0.2,1.5030720393732702
0.2,13.093907797459782
0.2,3.03367741035708
0.2,65.81592103603916
0.2,29.978342978824745
0.4,0.10031667719144499
0.4,0.02465306199805777
0.4,0.022631652751361534
0.4,0.11362278741672698
0.4,0.008121334506963484
0.4,0.048598278192410534
0.4,0.0015823417472357138
0.4,0.0035879091311052822
0.4,0.01223890019918077
0.4,0.0003326954991481905
0.4,0.028534207407927455
0.6,3.0515958222783403e-05
0.6,4.458787581909216e-05
0.6,1.5657473456795134e-05
0.6,4.551733140069992e-05
0.6,5.7094172897008226e-05
0.6,4.9565643069303175e-05
0.6,6.454205357798148e-05
0.6,5.1413534703822835e-05
0.6,6.77224073685541e-05
0.6,5.2992106045041336e-05
0.6,3.5872301305036705e-05
0.8,5.075437738237959e-05
0.8,0.00011109335806611333
0.8,7.618045005292728e-05
0.8,7.858214842013362e-05
0.8,5.992818429766095e-05
0.8,7.355514755145422e-05
0.8,4.968597269861328e-05
0.8,5.0856917843845614e-05
0.8,6.269115376986002e-05
0.8,7.338497011299314e-05
0.8,9.321459467270223e-05
1.0,7.888441940717214e-05
1.0,8.165010697930702e-05
1.0,9.328883663339146e-05
1.0,7.990690917311494e-05
1.0,8.151627059444123e-05
1.0,8.388567640058893e-05
1.0,7.75013040485475e-05
1.0,7.455043738163159e-05
1.0,7.139410470079746e-05
1.0,8.389962669226127e-05
1.0,7.091691296117534e-05
1.2,4.843787261552026e-05
1.2,5.3656028062624926e-05
1.2,4.5738808081741964e-05
1.2,5.202819960345071e-05
1.2,4.5143015512471236e-05
1.2,4.325594384872645e-05
1.2,4.5491544960487966e-05
1.2,5.106992771235969e-05
1.2,5.276631565552209e-05
1.2,4.176637486411833e-05
1.2,4.2416581044826506e-05
2.0,8.095295463028533e-06
2.0,7.93076646383229e-06
2.0,7.338784638743099e-06
2.0,7.243227712514935e-06
2.0,7.878571482152021e-06
2.0,6.680896300116028e-06
2.0,7.06373472286477e-06
2.0,6.927429485913162e-06
2.0,7.317354166477937e-06
2.0,7.815077760901661e-06
2.0,6.875941712773021e-06
3.5,1.6915869978466941e-06
3.5,1.789639751156899e-06
3.5,1.6407054542887454e-06
3.5,1.5876921501960637e-06
3.5,1.5710027143532417e-06
3.5,1.6678533854633852e-06
3.5,1.576346630488947e-06
3.5,1.7099606413090334e-06
3.5,1.6809359288516895e-06
3.5,1.5500079288321996e-06
3.5,1.4209059339963761e-06
5.0,7.984470796738877e-07
5.0,8.244370884823193e-07
5.0,8.045017814419208e-07
5.0,7.702200344262448e-07
5.0,8.164026648441763e-07
5.0,7.124881560475323e-07
5.0,8.114506230641511e-07
5.0,7.975707871895219e-07
5.0,7.723587487239767e-07
5.0,8.696194992374916e-07
5.0,6.374862152471903e-07
