h_mean,v_score,r_hat
0.8,5.5751067847488257e-05,1.0063311592360926
0.8,4.4393167282628105e-05,1.017669519097014
0.8,6.600635982560206e-05,1.0129382243494052
0.8,5.694504658744729e-05,1.0129199710589678
0.8,5.4603160185424995e-05,1.0076074342770913
0.8,3.8487969577567945e-05,1.0387090090696365
0.8,5.029954440034731e-05,1.0181514114975816
0.8,3.973444498382376e-05,1.0485596356079236
0.8,6.497750206099919e-05,1.0101761333135661
0.8,4.094312870625573e-05,1.0241465233982532
0.8,2.311104401950831e-05,1.0090781588660638
0.97,3.6550020932940406e-05,1.0068162562319531
0.97,4.00003211533174e-05,1.005437369371399
0.97,5.621624908879532e-05,1.0160821949224268
0.97,4.053734444391178e-05,1.0099055588816543
0.97,4.83779176667199e-05,1.0155285502147093
0.97,4.5953769967400173e-05,1.0236102318557296
0.97,4.065676259207165e-05,1.014180983588086
0.97,3.723725086156717e-05,1.0233110447684794
0.97,4.15372908798518e-05,1.0111244572918812
0.97,3.4132801241737385e-05,1.0038930113544051
0.97,4.1563192339917744e-05,1.0103596767870187
0.9786,4.1920657731696214e-05,1.0213843843150847
0.9786,3.6428640712543456e-05,1.012063298347893
0.9786,4.408507314005959e-05,1.0163822517065277
0.9786,3.330229842674302e-05,1.0124767747667731
0.9786,4.4491326916427446e-05,1.0190817809123047
0.9786,3.407218622069644e-05,1.012337343710315
0.9786,3.1097706480033577e-05,1.0096159794725472
0.9786,3.927789067935351e-05,1.0091739784343434
0.9786,4.446556009062079e-05,1.0079493928302095
0.9786,3.941066584337445e-05,1.0149244281257384
0.9786,4.402761619682072e-05,1.013894936550237
0.9871,3.30738102096073e-05,1.0093697150837557
0.9871,4.92205419964511e-05,1.0229118818530893
0.9871,3.6329230522958724e-05,1.017735016709483
0.9871,4.676683446656879e-05,1.0112653016763302
0.9871,4.2266077929080444e-05,1.0033445774056142
0.9871,3.636589828913601e-05,1.0095131315792412
0.9871,3.984385966278282e-05,1.0094641977827015
0.9871,3.660408500867132e-05,1.0147086789058983
0.9871,3.448230771420664e-05,1.0070265640525282
0.9871,5.082942814880843e-05,1.0143504901516656
0.9871,3.38082277533318e-05,1.0207247246575466
0.9957,3.206884612698384e-05,1.0101316164350809
0.9957,3.714132969429925e-05,1.011082863749007
0.9957,4.572064772180332e-05,1.016313842334608
0.9957,3.6972826844880146e-05,1.014088078974878
0.9957,3.590011694756769e-05,1.0100769250962818
0.9957,5.667523718916774e-05,1.013476031705995
0.9957,4.8565425231208894e-05,1.0109483880309418
0.9957,3.4335273040255975e-05,1.016194611855992
0.9957,3.5814842251022235e-05,1.0147259228635623
0.9957,3.357266551784378e-05,1.005467560372494
0.9957,3.405003519779371e-05,1.008563004494496
1.0043,3.886130593147129e-05,1.0109968008626127
1.0043,4.203418824004968e-05,1.0153487384298399
1.0043,4.436437144188624e-05,1.0160945159758341
1.0043,3.881850289456517e-05,1.0101467281168905
1.0043,4.701276410774261e-05,1.0139105026511182
1.0043,3.2378438859359315e-05,1.0104941618497538
1.0043,3.230855882613677e-05,1.0228599706824189
1.0043,3.885938341275299e-05,1.0120415356269716
1.0043,3.766748497809401e-05,1.0171797967218579
1.0043,3.284038162475825e-05,1.0130495726213133
1.0043,3.155144960872681e-05,1.0101259027671683
1.0129,3.16944919347006e-05,1.0040625186517929
1.0129,3.677000479733876e-05,1.0132152701599886
1.0129,3.8666116286424675e-05,1.0135036396389838
1.0129,3.574317335624751e-05,1.0081172678021573
1.0129,4.09304406724675e-05,1.0028184621685383
1.0129,4.4610137185082374e-05,1.0170205322085168
1.0129,4.044535431921502e-05,1.0146955460694618
1.0129,3.5710096459790996e-05,1.0099553094984945
1.0129,4.069983235821821e-05,1.0146233081508655
1.0129,3.7185266061796507e-05,1.013413474898507
1.0129,3.6217856197528955e-05,1.0136992260222968
1.0214,3.5372112141398204e-05,1.0055682568248447
1.0214,4.1773849409712815e-05,1.0058169313073924
1.0214,3.940633416947811e-05,1.0084186209029795
1.0214,3.8306578380046705e-05,1.0169466746168812
1.0214,4.2318706934699314e-05,1.0058384817070667
1.0214,4.064858535741448e-05,1.0100182059651137
1.0214,4.1602322618907655e-05,1.0167217618758126
1.0214,3.7727534878108554e-05,1.0081614985899692
1.0214,4.514481847494211e-05,1.0075271128994943
1.0214,4.0318295830800126e-05,1.004999375825309
1.0214,2.871793219341756e-05,1.0122129343079802
1.03,3.682646308271352e-05,1.0116386807127613
1.03,4.360298689839321e-05,1.0119264571568796
1.03,3.8860601126649e-05,1.0090285954223477
1.03,4.214116494131382e-05,1.005064269594987
1.03,3.453113566838678e-05,1.0111570329819413
1.03,3.461028804812465e-05,1.007787620418082
1.03,4.6437430621660796e-05,1.0116016883158614
1.03,3.895830969426773e-05,1.0104817705462514
1.03,3.4851085346171904e-05,1.0072484394161652
1.03,3.377908623821362e-05,1.0100326391064522
1.03,3.3344200664644993e-05,1.0040789813106112
1.2,4.7653998841809115e-05,1.0102480725161564
1.2,4.4637915844397526e-05,1.0075261302990846
1.2,4.410282807042204e-05,1.0013676893232355
1.2,4.419811154976819e-05,1.0200450569524813
1.2,4.656914773037443e-05,1.0172466410934113
1.2,4.40033962856131e-05,1.0115058238527248
1.2,4.693887511081193e-05,1.0080228732256444
1.2,4.654170428054497e-05,1.0060295789314486
1.2,4.7066084502103495e-05,1.0083524162893358
1.2,4.7582975277855186e-05,1.0066860883915834
1.2,4.131398994598455e-05,1.0188656364796655
