H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0.0,-0.24281893004115224,0.053346354548466327,0.9128059746989787,0.016034884058893167,0.00020490258924071712,-80.63333333333334,1.3322222222222222
0.2,-0.03320987654320987,0.05742425184679615,0.9904323527917492,0.0008388569935428135,1.3350198934304198e-06,-81.81341538459058,0.008935868796132423
0.4,0.06950617283950616,0.05625406674847013,0.9545201442869481,0.004264738877019749,1.1034269281826651e-05,-84.2519575910419,0.07832557274537975
0.6,0.2346502057613169,0.053021844584034195,0.8992887263120457,0.0028751647807427087,2.3369284696182344e-06,-88.46673722215486,0.018289651898117123
0.8,0.08207818930041152,0.050886619060433035,0.78541990550221,0.004506404015425125,1.232184291737213e-05,-94.56394971664173,0.1101861160144757
0.9,-0.050226337448559664,0.046419193973493186,0.6525925925925924,0.00784858286443539,4.370439301378617e-05,-98.39925786674502,0.4231640245372943
0.95,0.007139917695473252,0.032545168275235827,0.325522532134329,0.013010618501487724,8.058880534197386e-05,-100.43309680382806,0.8128837204945347
1.0,0.009773662551440321,0.021616447225268065,0.1501173601585124,0.009035130429210591,6.346123280621533e-05,-102.96648736271239,0.6728221789392166
1.05,-0.020576131687242795,0.017474632408322727,0.10247320022354314,0.006509259730269024,4.645840604873585e-05,-105.75121926336614,0.5195592389868394
1.1,-0.001625514403292181,0.015048120028290127,0.07957221968195903,0.005152767758979391,3.146523360837689e-05,-108.70970897329464,0.37184986369773226
1.2,-0.018271604938271603,0.012125916456963237,0.05581771071483005,0.00345636677559377,1.8247701581778618e-05,-114.95699012926517,0.24114537597867916
1.4,-0.0030041152263374474,0.008482682086835365,0.034243763653914544,0.001811346939559434,6.428578913916927e-06,-128.3833241515745,0.10595762429116933
1.6,0.012119341563786006,0.007155247257999951,0.02699182035258853,0.0013817243439752747,3.04080292052776e-06,-142.5926422381602,0.06182761683759732
1.8,-0.00043209876543209776,0.006337700077847894,0.024143677284966723,0.001101882935799188,1.6869664717685527e-06,-157.27880222238738,0.04172985131211924
2.0,-0.0039711934156378605,0.00644144130693056,0.02405121170553269,0.0011968365754402958,1.0815394491959877e-06,-172.28386869639573,0.03210196344359594
2.3,0.007654320987654319,0.005715007889663776,0.02066250063506579,0.0009414164132593327,5.783544346734242e-07,-195.21357970089747,0.02204012842003619
2.6,0.0006584362139917696,0.005177119382562087,0.019486866839404562,0.0009172078878017692,3.8380510668012566e-07,-218.4655635352394,0.01831794402816163
3.0,0.003991769547325103,0.004879387732255121,0.016413148402174466,0.000749922611705969,2.2748198124504524e-07,-249.79156790867643,0.014193926437983452
3.5,8.230452674897216e-05,0.004551556913401797,0.016455824823451707,0.0006908312209067616,1.4349286842349612e-07,-289.31589681440346,0.012010882310200791
4.0,-0.0047119341563786,0.004431575097098988,0.016694609561550576,0.0007592833729194941,9.075352643919641e-08,-329.0895016191839,0.009828597844906225
4.5,-0.0068930041152263375,0.004661069136025239,0.01694965198394554,0.0006426123153360517,6.663236567041531e-08,-369.01286218479,0.00907336204696938
5.0,-0.007366255144032922,0.004464441499053213,0.01641416450744297,0.0006505581321472359,4.508818491152876e-08,-409.0588536638123,0.00754456746514894300
