h_mean,v_score,r_hat
0.1,0.20133456138613803,1.0564758748303311
0.1,0.2109408380007091,1.0670155598861135
0.1,0.20423728384551426,1.0537811242141062
0.1,0.19762601445352207,1.0480838383351567
0.1,0.20470929077821123,1.0524333286653538
0.1,0.18803238450892626,1.058517199671095
0.1,0.1978839187693389,1.0505099371337707
0.1,0.22359659717295835,1.0717927561362377
0.1,0.21117324448556943,1.0586454540909442
0.1,0.1868091780686111,1.0293623146602844
0.1,0.17987131835193423,1.0507068272773303
0.4,0.2516266519917212,1.319599843595223
0.4,0.04739930306067769,1.2316673250108896
0.4,0.016634416030571083,1.1561230277404462
0.4,0.2550519346380797,1.3009121219727355
0.4,0.016550977500336003,1.2018252200598718
0.4,0.07156187033301963,1.2738311805587255
0.4,0.205526366313623,1.3301650888611956
0.4,0.1463857052300566,1.3173844777316996
0.4,0.16216063456563526,1.3234321493609498
0.4,0.1253552569864079,1.3068040455447874
0.4,0.052344770642855226,1.3099097211206792
0.8,2.152705314016148e-06,1.02833732237852
0.8,1.089096414434921e-05,1.0021858564822521
0.8,8.980228894666757e-06,1.0204016369338558
0.8,1.601727980809062e-05,1.0227420976357855
0.8,2.7044797377613746e-05,1.0899401756104126
0.8,1.9570018001703585e-06,1.019148267433059
0.8,1.138438562479319e-05,1.031293333187141
0.8,9.208716444947057e-06,1.0305394791195237
0.8,2.8444923727072552e-05,0.9980563317103067
0.8,2.404094719496454e-06,1.0126786515136235
0.8,1.3428127907515165e-05,1.0238306356601528
0.9,1.1504484295470241e-05,1.0384275894268284
0.9,1.307173342972834e-05,1.0205817378629698
0.9,3.017409467568887e-06,1.0409585721670418
0.9,9.8014895552289e-06,1.0587784540275085
0.9,1.477003423372639e-05,1.0372899440709398
0.9,1.038914024042785e-05,1.0508802116223084
0.9,9.881529306513371e-06,1.0369853153794482
0.9,1.4027039966556238e-05,1.0091360990777292
0.9,1.6927682303316124e-06,1.004886023467269
0.9,5.749504518927765e-06,1.0646485596916002
0.9,1.0491846556958204e-05,1.0223174186613462
0.95,3.720005446537475e-06,1.0283854167732194
0.95,4.569993972419488e-06,1.005376579425297
0.95,6.598796728311874e-06,1.0211509566792576
0.95,3.4977330092122438e-06,1.0322049820477437
0.95,1.1573909151852022e-05,1.0204623003502733
0.95,3.928664406291385e-06,1.0139263997783416
0.95,4.613649525597223e-06,1.0191671648048448
0.95,3.562691053111825e-06,1.0177487557093428
0.95,8.785803891091925e-06,1.0140705379869652
0.95,4.198213334564836e-06,1.0240228408802747
0.95,3.6703254248949307e-06,1.0359899555322183
1.0,3.0590902331476236e-06,1.0087487630036487
1.0,5.422731995275264e-06,1.0093031742799403
1.0,6.997126266805411e-06,1.0102522593790222
1.0,6.262500586845288e-06,1.0213388085909343
1.0,3.87967191344102e-06,1.0157116010219507
1.0,3.321558530146104e-06,1.017102973493707
1.0,4.075645601895835e-06,1.0416994822314638
1.0,4.0252032880401105e-06,1.0200650937244775
1.0,5.830539815590895e-06,1.0073724667753667
1.0,5.923036801139207e-06,1.0136855661322115
1.0,1.3468836853673563e-06,1.0041503172142183
1.05,7.2636136601318045e-06,1.0150157481891202
1.05,3.3237110438920366e-06,1.0160133079344285
1.05,4.098875535724431e-06,1.0112294180542933
1.05,3.546316710886737e-06,1.0170819690272634
1.05,4.596241413477995e-06,1.0252557533743332
1.05,4.838103750896612e-06,1.0234324941950785
1.05,3.4816320151005695e-06,1.0140728006294213
1.05,5.442014313503582e-06,1.0237790756844836
1.05,5.664909955792496e-06,1.004670766496815
1.05,6.013699323623114e-06,1.0208609038076448
1.05,2.90399356099197e-06,1.0301237835901627
1.2,4.550389110248696e-06,1.011559436341009
1.2,4.1450762098303726e-06,1.0134115607349201
1.2,4.008661288518641e-06,1.0048830415647894
1.2,4.394074483802326e-06,1.0128977781105228
1.2,4.330630858097667e-06,1.0098481633138172
1.2,4.398118737218019e-06,1.0065632825612294
1.2,3.987602464330787e-06,1.0158119052795713
1.2,4.171311451867024e-06,1.0253532438682613
1.2,3.3396078811835964e-06,1.010530788449364
1.2,4.304726431680353e-06,1.0126669390438452
1.2,2.7423336880415607e-06,1.0038818754131311
2.5,3.896977228466631e-07,1.0115617905533023
2.5,3.9271898277384215e-07,1.0055365594292103
2.5,3.8299351366912e-07,1.0071169533188955
2.5,4.4634349103010135e-07,1.0065860909551894
2.5,3.776570765980581e-07,1.005342371835168
2.5,3.557159006743544e-07,1.0151790863104326
2.5,4.504420801052716e-07,1.0107895851949047
2.5,3.94506485984814e-07,1.0094712648905477
2.5,4.074132542536141e-07,1.0118330907105628
2.5,3.627714241039253e-07,1.0081001548062476
2.5,2.3110064435548044e-07,1.007922693522311
4.0,2.343449636283427e-07,1.0093188196792808
4.0,1.724193983328338e-07,1.0119816723939041
4.0,1.7999387760600048e-07,1.013740690479835
4.0,1.5391147822253683e-07,1.0059415193487498
4.0,1.6005697473550102e-07,1.0097576773424888
4.0,2.0510108869512826e-07,1.0120955929640052
4.0,1.7831773336808199e-07,1.010323500363526
4.0,1.7879085214987236e-07,1.0089755397343945
4.0,1.9127176639840353e-07,1.006952542703824
4.0,1.8753125957726598e-07,1.0062438858737957
4.0,1.2457347008781696e-07,1.0047001789455965
