H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0.0,0.1546666666665376,0.05646862124387719,0.9805333333332045,0.007868865982582005,0.0007903098337135696,-199.19999999997322,31.360000000039584
0.44,-0.0333166666666603,0.057343305810672825,0.9876536666666739,0.0007831088044644084,6.332836007374968e-07,-202.41438971473013,0.025946632980319156
0.88,0.07176666666666051,0.05615302640173405,0.9513899999999649,0.0016295476877542592,2.7440121525123134e-06,-209.72000391370833,0.12068845973168693
1.32,-0.16561666666666724,0.0536084996283931,0.8903030000000028,0.0025422445185745712,7.537922795365501e-06,-221.91737621352664,0.37122251010062357
1.76,-0.2701333333333351,0.04912954470543113,0.7984806666666663,0.0033224312514694566,2.2237605124511518e-05,-239.25246559635116,1.2729192617715366
2.2,0.01553333333333465,0.04693603385538747,0.6636260000000009,0.004017771185896778,4.962578197917165e-05,-261.86600427142974,3.403028656368416
2.31,-0.03391666666666317,0.04552790632820309,0.6258643333333341,0.004341341636415458,6.471478823162222e-05,-268.433185101206,4.663113040034856
2.42,0.5642666666666656,0.029548178862225546,0.5835299999999992,0.0042516764928672195,7.374039254794651e-05,-275.3206179458266,5.5896281378967965
2.53,-0.7228833333333325,0.0033461933872962367,0.5296323333333328,0.004728388751134121,5.392610525027468e-05,-282.6845809451713,4.309265932683123
2.64,-0.4480333333333336,0.03095381679331445,0.4920240000000005,0.005207782517220427,0.00014708508957756258,-289.8117666016095,12.353803175731318
2.76,-0.6267833333333334,0.004516231118811186,0.4041090000000001,0.005426811736083068,8.168541707552698e-05,-299.27068817431916,7.315986500527403
2.87,0.5690333333333336,0.005304944932866017,0.3382486666666669,0.005674401240529138,9.605148356363863e-05,-307.78784539619124,9.099279557122093
2.98,-0.49076666666666674,0.006149772955760839,0.2599653333333334,0.005625760728279499,0.0001168430115815385,-316.6211193142323,11.713387262433427
3.035,-0.45165000000000005,0.006286898413897483,0.2240843333333334,0.005411912966745646,0.0001197098887129419,-321.3810472549705,12.364328934308801
3.09,-0.3998166666666666,0.0067787371133458075,0.18255233333333334,0.005020859254004092,0.00013036911002553924,-326.10049348406244,13.863650866108614
3.2,-0.1782166666666667,0.007965879261412854,0.06202033333333335,0.003038741270779851,0.0001679500385126704,-335.9727946221784,18.957817207293793
3.9,0.009583333333333336,0.006238075661849812,0.02228766666666667,0.001058822639468883,0.0001311912396821479,-402.37747760715683,21.240863282156564
4.6,-0.0037833333333333373,0.005102375173133333,0.018279666666666673,0.0007979930796599588,9.00351523282484e-05,-470.25822486218476,19.910625508774825
5.3,0.0084,0.004483032207979079,0.015506000000000006,0.0006521002751792773,7.171218295143248e-05,-538.9575949793003,20.830617080967478
6.0,0.006316666666666664,0.00439792238406913,0.015483666666666672,0.0006203327956890621,5.556600612723744e-05,-607.6884103000809,20.519703908886683
