h_mean,v_score
0.1,7.86188887036074e-05
0.1,0.00026324654025738285
0.1,0.001001964706630798
0.1,0.0006867257609711854
0.1,2.7803727287482992e-05
0.1,0.00011321136198538342
0.2,0.0007239615045296702
0.2,0.00047124071898824334
0.2,0.00031592571814088925
0.2,0.000340304003779469
0.2,3.2833514511619327e-05
0.2,7.212121796574208e-05
0.4,0.00013975883043729028
0.4,0.00025648472402499124
0.4,0.0001568178644169338
0.4,0.0001253857236304564
0.4,0.0003625110717773438
0.4,7.766524806214628e-06
0.6,5.406233337092226e-05
0.6,9.225354502162747e-05
0.6,0.00017065752500997744
0.6,0.0001493866853473697
0.6,2.102998374871934e-05
0.6,5.21970045065442e-05
0.8,9.49999313001469e-05
0.8,0.0002793902172519053
0.8,0.00011762111157870127
0.8,9.32956278991858e-05
0.8,5.311305795098947e-05
0.8,7.80356926471023e-05
1.0,0.00013572915631104222
1.0,0.00013280550446853037
1.0,3.1446524508869046e-05
1.0,1.9265371824727518e-05
1.0,3.7992424841737844e-05
1.0,0.00011742485035319818
1.2,2.186429548571839e-05
1.2,9.422932912883779e-05
1.2,0.00011650233173960892
1.2,4.801257470454817e-05
1.2,8.763220431015693e-05
1.2,3.003330414644036e-05
2.0,5.826093905049044e-05
2.0,9.587629340231652e-05
2.0,9.510891823039672e-05
2.0,8.805894615781753e-05
2.0,8.096501175313339e-05
2.0,6.135924440689067e-05
3.5,1.018741121865617e-05
3.5,1.0006387843927022e-05
3.5,1.2857891197878558e-05
3.5,1.2775718835554095e-05
3.5,1.2258783358493736e-05
3.5,9.112866434642047e-06
5.0,4.026592316216215e-06
5.0,4.496564611457252e-06
5.0,4.842721227499976e-06
5.0,5.261927965013015e-06
5.0,5.1452742302293354e-06
5.0,3.704992745397597e-06
