H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
0,0.10000000000000003,0.0574456264653803,1.0,nan,0.0,-9.0,0.0
0.2,0.06000000000000002,0.057282444637505085,0.9888065843621398,0.002377371158458108,7.076466058785345e-06,-9.092606714804537,0.0005850503474945372
0.4,0.10481481481481486,0.0561359029287168,0.9606584362139918,0.004816317634459666,0.00016174035908624366,-9.361356164215337,0.014174114627111824
0.6,0.03277777777777779,0.05403682443539525,0.8930041152263376,0.00857337722907391,8.040612918643647e-05,-9.830484717674889,0.007770322069622015
0.8,0.11185185185185188,0.0488306143524105,0.762962962962963,0.01295610243696618,9.179851444689163e-05,-10.52367174187343,0.010166471302697898
0.9,0.03740740740740741,0.044943184170501665,0.6641152263374487,0.014821168428756526,5.7843065668933875e-05,-10.97814924409391,0.006971232439839366
0.95,0.05129629629629631,0.043141088544504255,0.62880658436214,0.014431639750613625,3.881552658894208e-05,-11.237156656665764,0.0049013797610607535
1.0,0.01703703703703704,0.04065048363604715,0.5736625514403292,0.014493700190054467,2.8825692639295595e-05,-11.515437454915185,0.003822439613744111
1.05,-0.00407407407407407,0.03783781842247394,0.51440329218107,0.014791171500859606,2.0771419179536844e-05,-11.812663842715837,0.0028984236229888925
1.1,-0.0009259259259259316,0.03494897155441742,0.45967078189300414,0.014905283138481749,1.5980866578028716e-05,-12.12703650337857,0.0023502263726915677
1.2,0.0053703703703703734,0.03113986582682798,0.39843621399176954,0.013975152724599246,7.774223141614699e-06,-12.802554934805078,0.0012742372536820317
1.4,0.019814814814814823,0.02521297259739664,0.3070781893004116,0.011932679535885482,3.2503984341128187e-06,-14.275979167027055,0.0006624428411255747
1.6,0.004814814814814819,0.020727299436481928,0.23967078189300414,0.009625473643874196,2.2305382636581828e-06,-15.848073060261317,0.0005602251570477132
1.8,0.0029629629629629667,0.0181359999653081,0.21086419753086427,0.008242591870920404,1.5291318323100271e-06,-17.477475287653775,0.00046709188555617097
2.0,0.00462962962962963,0.016947142738675147,0.2095473251028807,0.00807589307048784,1.3273173569262143e-06,-19.14404516893396,0.00048645446518287723
2.3,-0.005000000000000001,0.016611606582478074,0.1906172839506173,0.007268696682627386,1.1418440802265924e-06,-21.689976679286602,0.0005371863576426385
2.6,-0.008148148148148153,0.015873672531978605,0.1775308641975309,0.007161047232765464,1.1994306840261685e-06,-24.275014325143584,0.0007067961001608582
3.0,0.002777777777777774,0.015185467477050903,0.17374485596707823,0.006907991404886816,1.003798928350137e-06,-27.755405059740202,0.0007732890620094886
3.5,0.010370370370370368,0.013015168246358719,0.15448559670781895,0.005780823336853254,7.593696685915178e-07,-32.145670806103375,0.0007846902059220101
4.0,-0.003888888888888892,0.012906663456959776,0.15234567901234572,0.005873297394122107,6.156755611173124e-07,-36.56566753503493,0.0008231878036732102
4.5,0.004074074074074078,0.01300045723932976,0.14847736625514407,0.005639479907079982,4.161386459986862e-07,-41.001998671555995,0.0006995972669930943
5.0,0.008703703703703707,0.012532039414573818,0.14502057613168726,0.005554297474784095,3.108891025659949e-07,-45.45169965043086,0.0006422524291056909
